Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.5,17.486,17.635,17.823,18.114,18.438,18.796,19.182,19.64,20.083,20.493,20.877,21.25,21.892,22.492,23.112,23.767,24.458,25.194,25.943,26.759,27.661,28.682,29.84,31.125,32.499,33.959,35.516,37.055,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
AMBERTON ROAD,23.482,23.505,28.238,28.971,30.729,31.288,31.906,32.556,33.296,33.996,34.655,35.284,35.892,36.719,38.102,39.48,40.817,42.135,43.438,44.708,45.997,47.321,48.727,50.234,51.823,53.519,55.274,57.105,58.936,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
ANNFIELD 66/20KV,19.882,19.939,20.19,20.475,20.864,21.274,21.722,22.201,22.73,23.265,23.769,24.256,24.729,25.493,26.338,27.084,27.822,28.571,29.341,30.102,30.901,31.754,32.691,33.731,34.861,36.062,37.329,38.671,39.999,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
ASHINGTON,17.89,17.854,17.987,18.18,18.476,18.803,19.162,19.54,19.95,20.357,20.732,21.085,21.418,22.059,22.874,23.561,24.243,24.943,25.66,26.379,27.145,27.979,28.912,29.967,31.128,32.37,33.688,35.093,36.482,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
AYCLIFFE FORREST,0.122,0.121,3.62,3.619,3.618,3.618,3.617,3.617,3.616,3.616,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,3.615,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
AYCLIFFE INDUSTRIAL,17.061,17.022,17.057,17.099,17.176,17.264,17.374,17.502,17.66,17.825,17.99,18.157,18.328,18.614,18.971,19.302,19.638,19.981,20.333,20.683,21.044,21.424,21.834,22.279,22.757,23.262,23.79,24.344,24.894,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BARDEN FRIAR,0.939,0.953,0.982,1.016,1.056,1.094,1.134,1.176,1.22,1.264,1.307,1.349,1.389,1.441,1.506,1.56,1.608,1.655,1.699,1.74,1.781,1.822,1.864,1.909,1.955,2.003,2.052,2.103,2.152,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BEDALE,17.254,17.341,17.772,17.944,18.157,18.392,18.655,18.945,19.283,19.628,19.981,20.346,20.726,21.181,21.748,22.325,22.899,23.474,24.045,24.603,25.163,25.73,26.317,26.93,27.569,28.235,28.921,29.632,30.343,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BELMONT,22.458,22.444,23.685,23.782,23.916,24.057,24.224,24.416,24.663,24.911,25.157,25.407,25.669,26.063,26.534,27.021,27.522,28.039,28.572,29.107,29.665,30.254,30.891,31.581,32.323,33.109,33.931,34.792,35.651,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BENSHAM,18.048,18.041,18.243,18.498,18.85,19.194,19.576,19.989,20.45,20.921,21.367,21.795,22.207,22.803,23.44,23.977,24.494,25.005,25.519,26.011,26.515,27.047,27.627,28.269,28.962,29.697,30.476,31.304,32.118,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BENTON SQUARE,16.929,17.002,19.196,19.762,20.12,20.472,20.86,21.272,21.72,22.173,22.606,23.028,23.443,24.181,25.267,26.184,27.075,27.971,28.866,29.753,30.673,31.644,32.7,33.863,35.118,36.455,37.858,39.34,40.811,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BENWELL,17.257,17.211,17.303,17.816,18.012,18.228,18.474,18.746,19.045,19.362,19.664,19.958,20.247,20.861,21.556,22.14,22.731,23.342,23.972,24.607,25.287,26.028,26.858,27.798,28.837,29.946,31.123,32.375,33.615,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BILLINGHAM MARSH HOUSE,16.164,16.343,16.676,17.017,17.426,17.845,18.306,18.806,19.354,19.931,20.509,21.094,21.688,22.537,23.402,24.171,24.944,25.713,26.494,27.256,28.031,28.833,29.688,30.614,31.605,32.642,33.732,34.88,36.017,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BILLY MILL,17.138,17.181,17.361,17.978,18.251,18.528,18.834,19.161,19.515,19.883,20.233,20.575,20.91,21.554,22.335,22.943,23.539,24.144,24.764,25.381,26.032,26.732,27.507,28.374,29.323,30.33,31.396,32.526,33.638,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BIRTLEY GROVE 66/11KV,13.48,13.473,16.813,16.939,17.12,17.322,17.571,17.865,18.684,19.064,19.46,19.876,20.312,22.553,23.127,23.657,24.175,24.674,25.147,25.586,26.009,26.423,26.848,27.295,27.764,28.251,28.759,29.294,29.823,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BIRTLEY GROVE 66/20KV,11.328,11.285,11.27,11.275,11.299,11.336,11.389,11.489,11.704,11.936,12.176,12.427,12.711,12.96,12.772,12.824,12.948,13.104,13.269,13.435,13.611,13.798,13.991,14.169,14.361,14.561,14.767,14.981,15.202,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BLAYDON BURN,14.355,14.301,14.353,15.286,15.433,15.597,15.796,16.025,16.276,16.555,16.831,17.114,17.398,17.957,18.727,19.343,19.937,20.528,21.106,21.67,22.248,22.853,23.51,24.235,25.02,25.853,26.73,27.656,28.571,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BLUCHER 33/11KV,13.001,13.019,13.189,13.813,14.127,14.456,14.815,15.197,15.587,16.002,16.392,16.766,17.12,17.8,18.493,19.082,19.687,20.315,20.953,21.598,22.288,23.038,23.877,24.826,25.872,26.987,28.168,29.425,30.67,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BOLDON DOWNHILL,7.085,7.111,9.246,9.405,9.606,9.799,10.01,10.237,10.484,10.741,10.986,11.221,11.449,11.917,12.433,12.841,13.251,13.673,14.108,14.546,15.014,15.526,16.101,16.751,17.47,18.238,19.056,19.928,20.789,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,4.665,4.68,4.732,4.787,4.868,4.972,5.113,5.295,5.526,5.789,6.08,6.402,6.753,7.195,7.71,8.186,8.633,9.052,9.441,9.794,10.121,10.429,10.728,11.027,11.333,11.644,11.962,12.292,12.616,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BOWESFIELD 33/11KV,9.338,9.441,9.661,9.921,10.232,10.552,10.909,11.299,11.733,12.185,12.642,13.106,13.579,14.231,15.026,15.772,16.502,17.224,17.927,18.609,19.296,20,20.743,21.541,22.387,23.279,24.209,25.183,26.156,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BOWESFIELD 66/11KV,14.073,14.168,14.335,14.529,14.76,14.998,15.256,15.527,15.814,16.11,16.4,16.69,16.979,17.422,18.041,18.567,19.076,19.59,20.101,20.606,21.124,21.663,22.235,22.851,23.505,24.192,24.907,25.654,26.397,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BRANCEPETH,14.717,14.829,15.138,15.77,16.23,16.709,17.221,17.766,18.371,18.98,19.557,20.108,20.642,21.542,22.413,23.193,23.984,24.803,25.656,26.51,27.419,28.407,29.506,30.732,32.077,33.509,35.022,36.628,38.216,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BREAMISH STREET,10.253,10.207,10.235,10.732,10.786,10.842,10.913,10.995,11.104,11.205,11.301,11.397,11.496,11.681,12.041,12.374,12.688,13.002,13.316,13.625,13.944,14.278,14.639,15.034,15.458,15.91,16.381,16.875,17.365,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
BRENDA TRADING,21.686,21.624,21.765,21.968,22.292,22.667,23.103,23.591,24.179,24.767,25.348,25.931,26.525,27.332,28.209,29.14,30.067,30.996,31.923,32.826,33.758,34.741,35.812,36.995,38.281,39.648,41.087,42.612,44.123,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
CAMPLESHON ROAD,15.871,15.959,16.3,16.86,17.296,17.696,18.126,18.581,19.079,19.574,20.032,20.46,20.86,21.41,21.952,22.503,23.059,23.618,24.194,24.759,25.345,25.963,26.632,27.363,28.145,28.977,29.847,30.763,31.675,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
CARLEY HILL,15.854,15.857,16.059,16.257,16.529,16.8,17.106,17.45,17.881,18.316,18.733,19.14,19.551,20.248,20.932,21.549,22.168,22.795,23.451,24.101,24.788,25.531,26.352,27.259,28.254,29.316,30.437,31.626,32.801,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
CARLIN HOW T3 T4,14.77,14.786,14.95,15.168,15.469,15.795,16.149,16.522,16.913,17.312,17.686,18.043,18.38,18.98,19.751,20.382,20.994,21.607,22.22,22.824,23.454,24.124,24.857,25.668,26.546,27.482,28.466,29.506,30.537,NPgN,Primary,NG FES - System Transformation (EE CF),Total peak demand (MW)
