Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,136.0,296.0,700.0,1305.0,2218.0,3219.0,4301.0,5440.0,6617.0,7800.0,8938.0,10017.0,11024.0,11951.0,12715.0,13395.0,13996.0,14521.0,14974.0,15329.0,15624.0,15865.0,16063.0,16226.0,16333.0,16423.0,16504.0,16578.0,16645.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,139.0,292.0,666.0,1204.0,1993.0,2829.0,3732.0,4681.0,5662.0,6646.0,7593.0,8492.0,9329.0,10101.0,10737.0,11304.0,11803.0,12241.0,12617.0,12913.0,13158.0,13359.0,13524.0,13659.0,13749.0,13824.0,13892.0,13953.0,14009.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,179.0,372.0,841.0,1508.0,2479.0,3496.0,4594.0,5749.0,6941.0,8138.0,9290.0,10382.0,11400.0,12339.0,13112.0,13800.0,14407.0,14939.0,15397.0,15757.0,16054.0,16298.0,16499.0,16664.0,16773.0,16865.0,16947.0,17021.0,17089.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
ASHINGTON,165.0,361.0,854.0,1594.0,2714.0,3943.0,5272.0,6671.0,8118.0,9570.0,10968.0,12294.0,13530.0,14669.0,15608.0,16444.0,17181.0,17827.0,18384.0,18820.0,19181.0,19477.0,19720.0,19921.0,20053.0,20163.0,20263.0,20353.0,20436.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,106.0,209.0,448.0,766.0,1200.0,1622.0,2076.0,2552.0,3043.0,3535.0,4008.0,4457.0,4876.0,5262.0,5580.0,5863.0,6112.0,6330.0,6518.0,6666.0,6788.0,6889.0,6972.0,7040.0,7085.0,7122.0,7156.0,7187.0,7215.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,10.0,18.0,38.0,64.0,97.0,128.0,161.0,195.0,231.0,266.0,301.0,333.0,363.0,391.0,414.0,434.0,452.0,468.0,482.0,492.0,501.0,508.0,514.0,519.0,523.0,525.0,528.0,530.0,532.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
BEDALE,109.0,223.0,496.0,878.0,1424.0,1986.0,2591.0,3228.0,3885.0,4544.0,5178.0,5780.0,6341.0,6858.0,7284.0,7663.0,7997.0,8290.0,8543.0,8740.0,8904.0,9039.0,9150.0,9241.0,9301.0,9351.0,9396.0,9437.0,9475.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
BELMONT,261.0,493.0,1018.0,1670.0,2509.0,3251.0,4046.0,4878.0,5734.0,6589.0,7412.0,8193.0,8921.0,9593.0,10146.0,10637.0,11070.0,11449.0,11776.0,12033.0,12246.0,12421.0,12565.0,12684.0,12763.0,12829.0,12888.0,12941.0,12990.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
BENSHAM,144.0,282.0,603.0,1026.0,1603.0,2159.0,2756.0,3383.0,4029.0,4676.0,5299.0,5890.0,6441.0,6949.0,7367.0,7739.0,8067.0,8355.0,8602.0,8797.0,8958.0,9090.0,9199.0,9288.0,9348.0,9397.0,9442.0,9482.0,9519.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
BENTON SQUARE,251.0,483.0,1011.0,1684.0,2574.0,3394.0,4273.0,5195.0,6144.0,7093.0,8007.0,8873.0,9682.0,10427.0,11040.0,11586.0,12067.0,12488.0,12851.0,13136.0,13372.0,13566.0,13726.0,13858.0,13945.0,14018.0,14084.0,14143.0,14197.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
BENWELL,145.0,290.0,632.0,1097.0,1749.0,2399.0,3100.0,3836.0,4595.0,5356.0,6088.0,6783.0,7430.0,8027.0,8519.0,8956.0,9342.0,9680.0,9972.0,10200.0,10389.0,10545.0,10672.0,10778.0,10847.0,10906.0,10958.0,11005.0,11049.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
BILLINGHAM MARSH HOUSE,243.0,475.0,1016.0,1729.0,2700.0,3635.0,4641.0,5697.0,6784.0,7874.0,8923.0,9917.0,10845.0,11700.0,12404.0,13030.0,13583.0,14066.0,14483.0,14810.0,15082.0,15304.0,15487.0,15638.0,15738.0,15822.0,15897.0,15965.0,16027.0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric cars and vans (hybrid and full electric)
