Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,18.7,17.343,16.893,16.778,16.855,17.356,17.884,18.655,19.508,20.503,22.092,23.375,24.596,25.709,26.727,28.093,28.868,29.329,29.602,29.636,29.875,29.639,29.338,29.191,29.044,28.969,28.86,28.67,28.508,28.27,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
AMBERTON ROAD,23.109,22.109,21.556,21.304,21.196,21.345,21.576,21.94,22.357,22.845,23.906,24.757,25.585,26.356,27.073,28.045,28.602,28.99,29.272,29.415,29.678,29.608,29.485,29.4,29.297,29.235,29.142,29.002,28.879,28.723,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
ANNFIELD 66/20KV,20.265,18.846,18.329,18.159,18.166,18.509,18.889,19.466,20.129,20.9,22.238,23.344,24.426,25.426,26.345,27.534,28.229,28.685,28.998,29.124,29.414,29.307,29.132,29.022,28.895,28.821,28.715,28.557,28.422,28.217,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
ASHINGTON,17.678,16.73,16.468,16.455,16.611,17.13,17.67,18.43,19.28,20.247,21.795,23.109,24.388,25.564,26.63,27.948,28.739,29.256,29.603,29.733,30.035,29.928,29.762,29.703,29.643,29.641,29.603,29.49,29.4,29.259,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
AYCLIFFE FORREST,2.079,2.039,1.998,1.957,1.916,1.875,1.834,1.794,1.753,1.712,1.707,1.702,1.696,1.691,1.686,1.681,1.675,1.67,1.665,1.66,1.655,1.649,1.644,1.639,1.634,1.629,1.624,1.618,1.613,1.608,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
AYCLIFFE INDUSTRIAL,12.248,11.498,11.21,11.1,11.084,11.23,11.366,11.599,11.888,12.246,12.9,13.468,14.016,14.519,14.968,15.504,15.826,16.038,16.179,16.231,16.343,16.297,16.217,16.149,16.07,16.011,15.937,15.826,15.72,15.605,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
BARDEN FRIAR,0.724,0.689,0.692,0.713,0.748,0.786,0.826,0.885,0.94,0.997,1.079,1.153,1.229,1.297,1.349,1.381,1.401,1.413,1.427,1.435,1.446,1.451,1.455,1.458,1.461,1.465,1.467,1.469,1.471,1.473,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
BEDALE,18.688,18.361,18.121,17.999,17.941,17.972,18.025,18.161,18.305,18.476,19.082,19.592,20.113,20.622,21.115,21.712,22.145,22.517,22.864,23.168,23.538,23.749,23.903,23.99,24.047,24.124,24.189,24.24,24.303,24.336,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
BELMONT,21.872,21.794,21.27,20.971,20.779,20.797,20.833,20.995,21.208,21.495,22.278,22.915,23.531,24.098,24.619,25.311,25.702,25.948,26.105,26.149,26.297,26.201,26.065,25.971,25.868,25.797,25.708,25.587,25.48,25.328,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
BENSHAM,17.325,16.44,16.031,15.802,15.658,15.662,15.67,15.785,15.942,16.158,16.715,17.204,17.685,18.13,18.533,19.011,19.31,19.515,19.659,19.727,19.843,19.82,19.756,19.679,19.596,19.529,19.451,19.349,19.247,19.12,NPgN,Primary,NG FES - Leading the Way (EE CF),Total peak demand (MW)
