Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
AMBERTON ROAD,8.076,23.636,51.371,94.797,162.604,264.217,409.076,603.871,850.164,1144.344,1480.505,1858.46,2274.462,2716.956,3166.214,3600.067,4000.222,4354.692,4657.442,4907.186,5105.728,5257.332,5368.772,5448.384,5504.784,5545.481,5576.193,5600.845,5621.944,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
ANNFIELD 66/20KV,69.839,109.81,177.77,273.164,406.793,589.69,832.592,1145.13,1528.565,1977.572,2483.419,3044.849,3654.557,4295.131,4939.31,5557.548,6125.934,6629.163,7059.757,7416.403,7701.887,7922.173,8086.429,8205.785,8291.677,8354.145,8401.03,8437.873,8468.375,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
ASHINGTON,175.934,237.898,338.726,464.335,615.596,791.448,989.907,1215.493,1466.37,1739.732,2030.907,2336.883,2649.536,2958.784,3254.635,3529.064,3776.812,3995.496,4184.585,4344.79,4477.881,4586.227,4672.693,4740.355,4792.204,4831.052,4859.616,4880.228,4894.853,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
AYCLIFFE INDUSTRIAL,35.15,58.957,99.867,158.807,243.725,362.921,524.567,735.391,996.504,1304.217,1652.483,2040.655,2464.077,2910.767,3361.413,3794.818,4193.709,4546.936,4848.991,5098.831,5298.358,5451.779,5565.637,5647.91,5706.815,5749.548,5781.678,5807.1,5828.379,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BARDEN FRIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BEDALE,177.546,266.264,415.598,619.911,897.894,1267.983,1747.807,2355.275,3091.923,3947.75,4906.321,5964.496,7107.126,8301.197,9496.944,10641.374,11692.006,12621.979,13418.376,14079.199,14609.783,15021.076,15329.647,15555.478,15719.043,15838.381,15927.753,15997.371,16054.195,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BELMONT,5.342,15.636,33.984,62.712,107.569,174.789,270.619,399.484,562.416,757.027,979.411,1229.443,1504.644,1797.371,2094.572,2381.583,2646.3,2880.797,3081.077,3246.293,3377.636,3477.927,3551.649,3604.316,3641.626,3668.549,3688.866,3705.175,3719.132,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BENSHAM,370.49,510.028,738.804,1030.124,1391.981,1828.882,2343.435,2949.772,3645.198,4421.327,5264.269,6167.647,7111.949,8068.048,9001.189,9878.952,10677.414,11383.102,11990.62,12500.525,12917.771,13250.305,13508.889,13705.834,13853.471,13962.979,14044.058,14104.339,14149.677,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BENTON SQUARE,17.642,51.637,112.226,207.096,355.228,577.212,893.673,1319.226,1857.281,2499.95,3234.334,4060.021,4968.824,5935.503,6916.96,7864.762,8738.945,9513.328,10174.721,10720.315,11154.053,11485.249,11728.702,11902.625,12025.835,12114.742,12181.838,12235.693,12281.784,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BENWELL,15.033,44,95.629,176.469,302.694,491.849,761.51,1124.129,1582.613,2130.239,2756.017,3459.595,4233.998,5057.718,5894.029,6701.663,7446.566,8106.427,8670.008,9134.916,9504.51,9786.726,9994.175,10142.377,10247.366,10323.126,10380.298,10426.189,10465.464,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BILLINGHAM MARSH HOUSE,68.267,166.023,339.086,606.131,1017.628,1628.082,2491.978,3648.643,5106.905,6845.49,8829.6,11057.778,13507.312,16109.995,18750.256,21298.604,23648.362,25729.765,27507.753,28974.961,30142.065,31034.068,31690.587,32160.322,32493.57,32734.213,32915.726,33061.138,33185.22,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BILLY MILL,13.667,40,86.935,160.426,275.176,447.136,692.282,1021.935,1438.739,1936.581,2505.47,3145.086,3849.089,4597.925,5358.208,6092.421,6769.606,7369.479,7881.826,8304.469,8640.463,8897.024,9085.614,9220.343,9315.788,9384.66,9436.635,9478.354,9514.058,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BIRTLEY GROVE 66/11KV,410.865,651.849,1062.256,1640.728,2454.78,3573.656,5064.898,6988.135,9351.539,12122.194,15246.107,18715.868,22486.955,26451.848,30441.325,34271.583,37793.671,40912.108,43580.134,45789.428,47557.169,48920.348,49935.948,50673.203,51203.271,51588.615,51877.924,52105.539,52294.349,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BIRTLEY GROVE 66/20KV,10.064,29.455,64.016,118.132,202.63,329.254,509.771,752.516,1059.435,1426.028,1844.937,2315.927,2834.329,3385.745,3945.59,4486.237,4984.891,5426.617,5803.89,6115.109,6362.523,6551.445,6690.316,6789.525,6859.807,6910.522,6948.795,6979.515,7005.807,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BLAYDON BURN,27.333,80,173.871,320.853,550.353,894.271,1384.564,2043.871,2877.478,3873.163,5010.939,6290.173,7698.179,9195.85,10716.417,12184.842,13539.211,14738.959,15763.652,16608.939,17280.927,17794.048,18171.228,18440.686,18631.575,18769.319,18873.27,18956.707,19028.117,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BLUCHER 33/11KV,1372.234,1860.852,2656.947,3652.412,4857.672,6268.397,7873.112,9709.782,11764.767,14014.739,16420.869,18959.646,21566.29,24157.52,26647.351,28964.061,31059.08,32908.852,34506.726,35857.688,36976.268,37882.677,38602.051,39161.806,39588.809,39908.094,40143.185,40313.872,40436.49,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BOLDON DOWNHILL,9.194,26.909,58.484,107.923,185.119,300.8,465.717,687.484,967.879,1302.791,1685.498,2115.785,2589.387,3093.15,3604.613,4098.538,4554.098,4957.65,5302.319,5586.643,5812.675,5985.271,6112.14,6202.776,6266.984,6313.316,6348.282,6376.347,6400.367,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,103.08,217.24,417.78,721.946,1183.198,1858.915,2806.296,4067.672,5652.045,7536.451,9683.313,12090.564,14732.783,17536.158,20376.863,23116.719,25642.129,27878.988,29790.172,31368.028,32624.143,33585.344,34293.976,34802.019,35163.12,35424.125,35620.866,35778.077,35911.707,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BOWESFIELD 33/11KV,156.183,271.309,470.055,759.606,1181.625,1779.954,2597.9,3670.118,5002.758,6576.868,8361.398,10353.44,12529.828,14829.175,17151.517,19386.659,21444.594,23267.061,24825.165,26113.304,27141.195,27930.585,28515.421,28937.179,29238.586,29457.042,29621.397,29751.766,29861.32,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BOWESFIELD 66/11KV,7.33,21.455,46.629,86.047,147.595,239.827,371.315,548.129,771.687,1038.712,1343.843,1686.91,2064.512,2466.16,2873.948,3267.753,3630.97,3952.721,4227.525,4454.215,4634.43,4772.04,4873.193,4945.457,4996.65,5033.59,5061.468,5083.844,5102.995,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BRANCEPETH,4.224,12.364,26.871,49.586,85.055,138.206,213.978,315.871,444.701,598.58,774.418,972.118,1189.719,1421.177,1656.174,1883.112,2092.424,2277.839,2436.201,2566.836,2670.689,2749.989,2808.281,2849.924,2879.425,2900.713,2916.778,2929.673,2940.709,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BREAMISH STREET,1.242,3.636,7.903,14.584,25.016,40.649,62.935,92.903,130.794,176.053,227.77,285.917,349.917,417.993,487.11,553.856,615.419,669.953,716.53,754.952,785.497,808.82,825.965,838.213,846.89,853.151,857.876,861.669,864.914,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
BRENDA TRADING,105.087,219.733,421.024,725.973,1187.899,1864.006,2811.307,4072.072,5655.253,7537.915,9682.525,12086.984,14725.836,17525.344,20361.903,23097.617,25619.141,27852.548,29760.812,31336.312,32590.623,33550.528,34258.291,34765.784,35126.544,35387.32,35583.88,35740.917,35874.361,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
CAMPLESHON ROAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
CARLEY HILL,10.56,30.909,67.177,123.966,212.636,345.514,534.945,789.677,1111.753,1496.449,1936.045,2430.294,2974.296,3552.942,4140.434,4707.78,5231.059,5694.598,6090.502,6417.09,6676.722,6874.973,7020.702,7124.81,7198.563,7251.782,7291.945,7324.182,7351.772,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
CARLIN HOW T3 T4,2.485,7.273,15.806,29.168,50.032,81.297,125.869,185.806,261.589,352.106,455.54,571.834,699.834,835.986,974.22,1107.713,1230.837,1339.905,1433.059,1509.904,1570.993,1617.641,1651.93,1676.426,1693.78,1706.302,1715.752,1723.337,1729.829,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
CARR HILL,19.754,57.818,125.661,231.889,397.755,646.314,1000.662,1477.161,2079.632,2799.24,3621.543,4546.079,5563.684,6646.092,7745.047,8806.318,9785.157,10652.248,11392.821,12003.733,12489.397,12860.243,13132.842,13327.587,13465.548,13565.099,13640.227,13700.529,13752.139,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
CATTERICK CAMP,6.212,18.182,39.516,72.921,125.08,203.243,314.674,464.516,653.972,880.264,1138.85,1429.585,1749.586,2089.966,2435.549,2769.282,3077.093,3349.763,3582.648,3774.759,3927.483,4044.102,4129.825,4191.065,4234.449,4265.754,4289.379,4308.343,4324.572,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
CLOSE,4.597,13.455,29.242,53.962,92.559,150.4,232.858,343.742,483.939,651.396,842.749,1057.893,1294.694,1546.575,1802.306,2049.269,2277.049,2478.825,2651.16,2793.321,2906.338,2992.635,3056.07,3101.388,3133.492,3156.658,3174.141,3188.173,3200.183,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
CONEYTHORPE,8.448,24.727,53.742,99.173,170.109,276.411,427.956,631.742,889.402,1197.159,1548.836,1944.235,2379.437,2842.354,3312.347,3766.224,4184.847,4555.678,4872.401,5133.672,5341.377,5499.978,5616.561,5699.848,5758.851,5801.426,5833.556,5859.346,5881.418,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
CONSETT,201.031,311.353,498.371,758.936,1120.92,1612.552,2261.188,3092.138,4108.417,5295.999,6631.86,8112.405,9717.864,11402.246,13094.254,14716.965,16208.27,17528.54,18658.484,19594.816,20344.914,20924.398,21357.184,21672.258,21899.377,22064.699,22188.709,22285.932,22366.124,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
CORPORATION STREET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),EV - other transport (MWh)
