Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,84,151,289,543,1005,1817,2607,3653,4937,6449,8123,9848,11515,12984,14156,15020,15599,15964,16123,16030,15885,15684,15431,15105,14713,14255,13726,13118,12426,11640,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,82,143,269,498,907,1619,2302,3207,4316,5624,7071,8561,10002,11272,12284,13031,13532,13847,13985,13904,13778,13604,13385,13102,12761,12364,11905,11378,10778,10096,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,128,215,386,688,1210,2092,2905,3981,5301,6856,8576,10348,12060,13569,14772,15661,16256,16632,16795,16698,16547,16338,16074,15735,15326,14849,14298,13665,12943,12125,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
ASHINGTON,95,174,338,646,1209,2208,3189,4489,6085,7964,10045,12189,14261,16088,17544,18618,19338,19791,19989,19873,19694,19445,19131,18727,18240,17673,17017,16264,15405,14431,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,75,120,207,353,596,988,1328,1777,2328,2976,3693,4431,5144,5773,6274,6645,6893,7050,7118,7077,7013,6924,6813,6669,6495,6293,6060,5791,5486,5139,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,7,10,17,28,45,72,92,120,153,193,236,281,324,362,393,415,430,440,444,441,437,432,425,416,405,393,378,361,342,321,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
BEDALE,71,119,216,386,682,1184,1650,2267,3023,3913,4899,5914,6895,7759,8448,8957,9299,9514,9607,9551,9465,9346,9195,9001,8767,8494,8179,7817,7404,6936,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
BELMONT,182,282,469,771,1249,1982,2567,3340,4287,5402,6634,7900,9124,10202,11063,11700,12127,12396,12513,12440,12328,12172,11976,11723,11418,11063,10652,10181,9643,9034,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
BENSHAM,92,149,258,443,751,1252,1691,2272,2984,3822,4749,5703,6625,7437,8086,8565,8886,9088,9176,9123,9040,8926,8782,8597,8373,8113,7812,7466,7072,6625,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
BENTON SQUARE,161,255,434,731,1217,1990,2644,3509,4569,5818,7198,8618,9990,11199,12164,12877,13355,13657,13787,13708,13584,13412,13196,12917,12582,12190,11738,11218,10626,9954,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
BENWELL,95,156,275,481,833,1416,1942,2638,3492,4497,5610,6755,7861,8837,9615,10189,10575,10817,10923,10859,10761,10626,10454,10233,9967,9657,9299,8887,8418,7886,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
BILLINGHAM MARSH HOUSE,156,252,438,755,1287,2157,2924,3939,5184,6649,8270,9939,11551,12972,14106,14943,15504,15858,16012,15919,15775,15576,15325,15001,14611,14157,13631,13028,12340,11560,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
BILLY MILL,111,181,317,551,945,1594,2171,2935,3872,4975,6196,7452,8666,9736,10589,11220,11642,11908,12024,11954,11847,11697,11508,11265,10972,10631,10236,9783,9267,8681,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of electric cars and vans (hybrid and full electric)
