Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.3,17.21,17.328,17.7,18.306,19.013,19.461,19.798,20.212,20.632,20.991,21.314,21.612,22.002,23.191,24.41,25.579,26.674,27.582,28.335,28.996,29.903,30.908,31.902,32.873,33.834,34.785,35.727,36.431,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
AMBERTON ROAD,23.297,23.303,27.991,28.918,31.0,31.968,32.714,33.359,34.135,34.919,35.618,36.265,36.861,37.49,39.406,41.288,43.07,44.731,46.156,47.409,48.529,49.864,51.278,52.666,54.013,55.34,56.651,57.947,59.049,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
ANNFIELD 66/20KV,19.811,19.825,20.019,20.4,20.988,21.659,22.139,22.561,23.081,23.614,24.089,24.531,24.944,25.455,26.631,27.775,28.862,29.887,30.775,31.534,32.199,33.048,33.949,34.835,35.697,36.549,37.394,38.234,38.889,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
ASHINGTON,17.782,17.711,17.797,18.072,18.552,19.122,19.507,19.828,20.23,20.638,20.988,21.303,21.591,21.981,23.117,24.251,25.343,26.382,27.289,28.07,28.767,29.643,30.574,31.494,32.392,33.282,34.165,35.043,35.71,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
AYCLIFFE FORREST,0.123,0.121,3.625,3.623,3.622,3.621,3.62,3.619,3.618,3.617,3.616,3.615,3.615,3.614,3.613,3.613,3.612,3.611,3.611,3.61,3.61,3.609,3.609,3.608,3.608,3.607,3.607,3.606,3.606,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
AYCLIFFE INDUSTRIAL,17.04,16.952,16.931,16.977,17.092,17.24,17.317,17.378,17.468,17.568,17.659,17.749,17.84,17.975,18.41,18.84,19.253,19.64,19.975,20.262,20.514,20.836,21.175,21.509,21.833,22.153,22.468,22.78,23.022,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BARDEN FRIAR,0.94,0.951,0.976,1.006,1.046,1.085,1.124,1.163,1.213,1.263,1.31,1.353,1.393,1.435,1.495,1.549,1.6,1.649,1.694,1.735,1.774,1.813,1.852,1.89,1.926,1.963,1.999,2.036,2.067,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BEDALE,17.214,17.241,17.603,17.765,17.999,18.275,18.503,18.717,18.969,19.238,19.504,19.775,20.051,20.36,20.992,21.628,22.243,22.826,23.344,23.808,24.229,24.7,25.187,25.663,26.128,26.587,27.04,27.49,27.88,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BELMONT,22.4,22.322,23.492,23.607,23.813,24.059,24.208,24.318,24.463,24.619,24.759,24.896,25.032,25.223,25.873,26.527,27.158,27.756,28.276,28.731,29.135,29.639,30.183,30.721,31.249,31.772,32.291,32.805,33.218,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BENSHAM,18.001,17.954,18.108,18.413,18.894,19.401,19.802,20.176,20.655,21.15,21.59,21.998,22.378,22.809,23.631,24.43,25.182,25.88,26.475,26.965,27.385,27.906,28.451,28.978,29.478,29.968,30.452,30.929,31.274,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BENTON SQUARE,16.873,16.908,19.048,19.644,20.106,20.605,20.996,21.356,21.791,22.239,22.647,23.035,23.409,23.901,25.218,26.518,27.776,28.981,30.082,31.083,32.008,33.036,34.088,35.126,36.14,37.145,38.142,39.132,39.931,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
