Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,29478.5,29100.347,28739.557,28395.458,28067.396,27754.744,27456.86,27173.113,26902.869,26645.497,26400.405,26166.974,25944.581,25732.593,25530.394,25337.349,25152.862,24976.304,24807.053,24644.484,24487.979,24336.921,24190.693,24048.596,23910.162,23774.718,23641.656,23510.367,23380.244,23250.679,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
AMBERTON ROAD,73073.353,72946.034,72040.259,71176.106,70351.97,69566.252,68817.356,68103.692,67423.673,66775.718,66158.251,65569.697,65008.489,64473.064,63961.863,63473.329,63005.913,62558.068,62128.253,61714.93,61316.564,60931.628,60558.595,60195.945,59842.16,59495.729,59155.143,58818.896,58485.488,58153.423,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
ANNFIELD 66/20KV,47284.095,46676.044,46095.886,45542.573,45015.053,44512.336,44033.344,43577.086,43142.523,42728.638,42334.474,41959.029,41601.306,41260.285,40934.924,40624.247,40327.271,40043.014,39770.463,39508.617,39256.496,39013.113,38777.486,38548.714,38325.674,38107.446,37893.052,37681.517,37471.866,37263.128,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
ASHINGTON,45280.218,44913.146,44569.903,44249.289,43949.785,43672.082,43413.48,43174.4,42953.382,42749.703,42564.743,42398.079,42249.458,42117.534,42000.149,41897.426,41809.186,41735.155,41673.82,41623.988,41585.163,41556.513,41537.275,41529.597,41527.266,41531.523,41541.385,41555.844,41573.871,41594.415,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
AYCLIFFE FORREST,4030.934,3978.627,3928.703,3881.075,3835.652,3792.349,3751.075,3711.744,3674.269,3638.561,3604.535,3572.103,3541.179,3511.677,3483.51,3456.594,3430.842,3406.169,3382.491,3359.721,3337.777,3316.573,3296.025,3276.05,3256.563,3237.482,3218.723,3200.202,3181.838,3163.548,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
AYCLIFFE INDUSTRIAL,35321.479,34863.29,34425.984,34008.783,33610.914,33231.603,32870.08,32525.578,32197.33,31884.572,31586.542,31302.482,31031.633,30773.24,30526.551,30290.812,30065.277,29849.196,29641.826,29442.423,29250.246,29064.556,28884.615,28709.689,28539.044,28371.949,28207.675,28045.494,27884.681,27724.512,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BARDEN FRIAR,2186.755,2174.759,2163.875,2154.071,2145.318,2137.286,2130.156,2123.847,2118.239,2113.535,2109.688,2106.762,2104.865,2103.766,2103.551,2104.171,2105.693,2108.121,2111.231,2115.01,2119.375,2124.293,2129.705,2135.142,2141.287,2147.783,2154.582,2161.632,2168.881,2176.275,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BEDALE,72405.818,72516.605,72061.869,71638.776,71246.355,70884.54,70551.353,70251.216,69975.725,69730.358,69513.167,69327.329,69171.615,69044.745,68940.361,68861.188,68808.594,68779.713,68771.833,68783.331,68813.446,68861.287,68924.826,68999.695,69088.892,69189.069,69298.623,69415.908,69539.236,69666.866,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BELMONT,80179.74,81422.533,80429.66,79482.432,78579.09,77717.879,76897.052,76114.864,75369.577,74659.455,73982.77,73337.798,72722.818,72136.116,71575.981,71040.709,70528.598,70037.952,69567.081,69114.296,68677.916,68256.262,67847.662,67450.446,67062.95,66683.515,66310.484,65942.206,65577.034,65213.326,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BENSHAM,35865.982,35400.553,34956.332,34532.532,34128.365,33743.046,33375.793,33025.827,32692.367,32374.64,32071.871,31783.289,31508.124,31245.609,30994.98,30755.473,30526.328,30306.785,30096.088,29893.483,29698.216,29509.538,29326.699,29148.954,28975.557,28805.767,28638.842,28474.044,28310.636,28147.884,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BENTON SQUARE,34739.445,35076.095,34826.767,34594.306,34377.964,34178.466,33994.131,33824.926,33670.123,33529.152,33403.198,33291.504,33193.226,33108.525,33035.801,32975.182,32926.242,32888.84,32861.844,32844.375,32835.722,32835.221,32842.116,32859.954,32881.661,32909.023,32941.286,32977.675,33017.399,33059.643,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BENWELL,38941.311,38576.443,38234.691,37915.386,37618.651,37342.924,37087.403,36848.157,36625.463,36418.869,36229.155,36052.481,35887.896,35736.349,35599.034,35473.886,35358.281,35250.826,35154.148,35068.711,34993.516,34927.257,34868.971,34809.482,34761.261,34718.099,34679.155,34643.575,34610.489,34579.016,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BILLINGHAM MARSH HOUSE,43883.09,43572.337,43283.039,43013.339,42761.859,42528.701,42312.915,42114.222,41931.941,41765.54,41616.959,41486.058,41372.613,41275.404,41194.286,41127.95,41077.126,41040.7,41017.663,41006.755,41007.1,41017.831,41037.794,41060.701,41094.763,41135.201,41181.049,41231.314,41284.977,41340.997,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BILLY MILL,49313.77,48932.946,48578.339,48247.688,47939.93,47656.092,47393.788,47152.969,46932.601,46731.876,46552.468,46393.305,46253.187,46132.341,46028.497,45941.834,45871.747,45818.036,45779.092,45753.669,45740.757,45739.414,45748.566,45773.238,45803.403,45841.592,45886.733,45937.728,45993.452,46052.751,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BIRTLEY GROVE 66/11KV,42125.829,41582.617,41064.267,40569.833,40098.4,39649.054,39220.881,38812.968,38424.404,38054.278,37701.708,37365.813,37045.689,36740.43,36449.142,36170.935,35904.92,35650.211,35405.919,35171.159,34945.049,34726.707,34515.252,34309.731,34109.394,33913.316,33720.627,33530.458,33341.942,33154.215,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BIRTLEY GROVE 66/20KV,29222.876,28843.737,28481.877,28136.652,27807.422,27493.548,27194.392,26909.318,26637.694,26378.885,26132.264,25897.2,25673.068,25459.241,25255.098,25060.016,24873.376,24694.559,24522.948,24357.93,24198.89,24045.218,23896.304,23751.538,23610.315,23472.03,23336.078,23201.86,23068.773,22936.219,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
BLAYDON BURN,38724.458,38222.217,37742.878,37285.589,36849.504,36433.774,36037.552,35659.989,35300.248,34957.491,34630.888,34319.597,34022.787,33739.635,33469.321,33211.016,32963.895,32727.136,32499.933,32281.473,32070.945,31867.535,31670.435,31478.817,31291.913,31108.906,30928.997,30751.388,30575.284,30399.891,NPgN,Primary,NPg Planning Scenario,I&C (MWh)
