Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,84,213,493,901,1472,2174,3002,3956,5010,6392,7723,9013,10254,11430,12548,13571,14496,15330,16071,16722,17130,17458,17711,17903,18051,18153,18224,18269,18299,18317,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,82,202,459,825,1329,1937,2654,3478,4389,5584,6735,7850,8923,9940,10904,11787,12587,13308,13949,14512,14865,15149,15368,15534,15663,15751,15812,15852,15877,15893,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,128,302,659,1140,1773,2503,3357,4338,5422,6842,8213,9541,10817,12027,13166,14212,15164,16021,16785,17456,17877,18215,18477,18676,18829,18936,19009,19057,19088,19107,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
ASHINGTON,95,245,578,1071,1771,2642,3670,4855,6165,7883,9537,11139,12682,14144,15534,16808,17958,18993,19914,20722,21229,21636,21951,22190,22373,22500,22587,22644,22680,22703,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,75,169,353,586,873,1182,1540,1950,2402,2994,3566,4122,4654,5158,5629,6062,6459,6817,7137,7417,7594,7735,7845,7929,7993,8038,8070,8090,8103,8111,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,7,15,29,47,67,86,108,133,160,196,231,265,297,328,356,382,406,428,447,465,475,484,491,496,500,503,505,506,507,507,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
BEDALE,71,168,368,640,999,1417,1906,2468,3089,3903,4688,5448,6179,6872,7525,8125,8670,9161,9599,9983,10224,10418,10568,10681,10769,10830,10872,10899,10917,10928,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
BELMONT,182,397,801,1278,1830,2372,2992,3696,4474,5490,6476,7434,8349,9216,10013,10750,11433,12049,12601,13086,13390,13635,13826,13971,14084,14163,14218,14254,14277,14291,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
BENSHAM,92,210,440,734,1100,1498,1961,2490,3075,3840,4579,5297,5985,6637,7246,7807,8320,8783,9195,9558,9786,9969,10110,10218,10302,10360,10400,10426,10443,10453,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
BENTON SQUARE,161,359,740,1212,1783,2381,3072,3860,4731,5870,6972,8042,9067,10038,10940,11771,12536,13225,13841,14382,14722,14995,15207,15368,15493,15581,15641,15680,15706,15721,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
BENWELL,95,219,469,797,1220,1694,2248,2882,3583,4501,5388,6248,7073,7855,8589,9264,9880,10435,10929,11363,11636,11855,12025,12154,12253,12322,12370,12401,12421,12434,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
BILLINGHAM MARSH HOUSE,156,354,747,1251,1886,2581,3389,4314,5336,6674,7967,9221,10424,11564,12630,13611,14509,15318,16039,16673,17071,17391,17639,17827,17973,18074,18144,18190,18219,18237,NPgN,Primary,NPg Planning Scenario,Number of electric cars and vans (hybrid and full electric)
