Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2,2.245,2.36,2.417,2.461,2.506,2.559,2.633,2.713,2.808,2.932,3.011,3.135,3.249,3.334,3.45,3.568,3.703,3.845,4.012,4.203,4.421,4.629,4.865,5.117,5.323,5.586,5.838,6.12,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
AMBERTON ROAD,1.847,2.06,2.208,2.314,2.41,2.511,2.624,2.764,2.916,3.053,3.221,3.35,3.519,3.689,3.858,4.036,4.234,4.447,4.679,4.933,5.22,5.518,5.828,6.141,6.467,6.803,7.134,7.479,7.826,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,11.934,12.203,12.368,12.467,12.552,12.642,12.744,12.873,13.014,13.151,13.321,13.446,13.617,13.785,13.939,14.114,14.303,14.51,14.733,14.983,15.265,15.567,15.874,16.194,16.53,16.854,17.198,17.55,17.914,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
ASHINGTON,6.244,6.611,6.826,6.946,7.045,7.149,7.269,7.424,7.593,7.771,7.994,8.151,8.375,8.591,8.775,8.996,9.231,9.493,9.772,10.091,10.453,10.849,11.242,11.665,12.113,12.518,12.982,13.445,13.941,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.225,1.33,1.394,1.431,1.464,1.498,1.537,1.586,1.64,1.693,1.76,1.809,1.876,1.941,2,2.068,2.141,2.221,2.307,2.405,2.515,2.633,2.753,2.879,3.011,3.136,3.272,3.41,3.554,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.066,0.08,0.093,0.104,0.114,0.125,0.138,0.152,0.168,0.18,0.195,0.207,0.222,0.238,0.256,0.272,0.292,0.312,0.335,0.358,0.385,0.411,0.44,0.466,0.494,0.526,0.553,0.584,0.612,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BEDALE,2.879,3.135,3.294,3.393,3.484,3.58,3.687,3.817,3.959,4.082,4.231,4.35,4.501,4.654,4.812,4.974,5.157,5.35,5.563,5.793,6.053,6.318,6.599,6.876,7.164,7.472,7.762,8.072,8.376,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BELMONT,1.56,1.737,1.859,1.944,2.02,2.1,2.19,2.302,2.424,2.535,2.672,2.777,2.914,3.052,3.187,3.331,3.491,3.663,3.85,4.056,4.288,4.531,4.783,5.038,5.306,5.577,5.848,6.13,6.416,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BENSHAM,0.51,0.635,0.712,0.759,0.798,0.84,0.887,0.948,1.015,1.083,1.167,1.228,1.313,1.395,1.468,1.553,1.644,1.745,1.853,1.975,2.114,2.264,2.414,2.574,2.743,2.899,3.073,3.247,3.43,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BENTON SQUARE,1.989,2.165,2.264,2.315,2.355,2.397,2.446,2.511,2.582,2.662,2.763,2.831,2.933,3.029,3.105,3.203,3.304,3.42,3.541,3.682,3.842,4.022,4.196,4.39,4.594,4.771,4.984,5.192,5.419,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BENWELL,1.142,1.296,1.39,1.445,1.491,1.539,1.593,1.665,1.742,1.824,1.926,1.998,2.101,2.2,2.285,2.386,2.494,2.614,2.742,2.889,3.055,3.236,3.417,3.611,3.816,4.003,4.214,4.425,4.65,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,13.242,13.408,13.493,13.527,13.549,13.571,13.599,13.642,13.689,13.757,13.848,13.9,13.991,14.072,14.119,14.198,14.275,14.366,14.46,14.576,14.709,14.868,15.013,15.189,15.378,15.515,15.715,15.899,16.117,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BILLY MILL,1.619,1.756,1.832,1.868,1.896,1.924,1.958,2.005,2.056,2.118,2.198,2.249,2.329,2.403,2.457,2.532,2.607,2.695,2.786,2.894,3.018,3.159,3.294,3.448,3.611,3.744,3.915,4.079,4.263,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.217,1.334,1.401,1.436,1.464,1.493,1.527,1.573,1.622,1.676,1.746,1.793,1.862,1.928,1.981,2.048,2.119,2.198,2.281,2.378,2.488,2.611,2.731,2.863,3.003,3.124,3.269,3.412,3.567,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,0.587,0.664,0.71,0.736,0.758,0.782,0.808,0.842,0.879,0.916,0.963,0.996,1.043,1.089,1.129,1.176,1.226,1.282,1.342,1.409,1.486,1.568,1.651,1.74,1.832,1.919,2.014,2.11,2.211,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
