Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
BOWESFIELD 33/11KV,13.812,13.552,13.366,13.213,13.117,13.080,13.137,13.253,13.416,13.606,13.843,14.143,14.484,14.932,15.333,15.708,16.094,16.461,16.953,17.391,17.696,17.966,18.185,18.379,18.506,18.610,18.693,18.763,18.811,18.840,18.862,18.874,18.880,18.883,NPgN
BOWESFIELD 66/11KV,14.688,14.396,14.141,13.915,13.735,13.600,13.498,13.426,13.381,13.360,13.366,13.402,13.461,13.533,13.595,13.656,13.724,13.793,13.894,13.987,14.054,14.117,14.171,14.223,14.263,14.302,14.341,14.378,14.412,14.443,14.473,14.502,14.530,14.559,NPgN
BRANCEPETH,19.906,19.539,19.377,19.307,19.397,19.629,20.114,20.734,21.444,22.225,23.116,24.155,25.294,26.640,27.872,29.031,30.208,31.335,32.761,34.048,35.008,35.881,36.617,37.289,37.804,38.268,38.671,39.039,39.181,39.258,39.312,39.344,39.358,39.365,NPgN
BREAMISH STREET,8.865,9.156,9.067,8.990,8.941,8.913,8.905,8.904,8.887,8.882,8.891,8.918,8.957,9.032,9.096,9.155,9.217,9.276,9.364,9.442,9.493,9.538,9.575,9.609,9.629,9.658,9.702,9.743,9.779,9.812,9.843,9.873,9.901,9.929,NPgN
BRENDA TRADING,22.218,21.842,21.610,21.441,21.372,21.396,21.552,21.802,22.151,22.556,23.034,23.606,24.249,24.986,25.660,26.299,26.948,27.573,28.356,29.071,29.614,30.110,30.539,30.940,31.253,31.537,31.791,32.029,32.232,32.408,32.574,32.728,32.872,33.013,NPgN
CAMPLESHON ROAD,17.368,17.060,16.894,16.768,16.717,16.740,16.901,17.128,17.382,17.671,18.023,18.456,18.946,19.589,20.167,20.707,21.255,21.776,22.465,23.081,23.522,23.921,24.247,24.540,24.743,24.923,25.080,25.220,25.327,25.409,25.479,25.537,25.587,25.632,NPgN
CARLEY HILL,18.285,17.988,17.853,17.766,17.757,17.842,18.103,18.467,18.905,19.391,19.959,20.634,21.386,22.329,23.184,23.988,24.803,25.583,26.589,27.489,28.143,28.725,29.206,29.640,29.944,30.208,30.432,30.630,30.781,30.896,30.995,31.077,31.146,31.209,NPgN
CARLIN HOW T3 T4,14.016,16.043,15.850,15.706,15.661,15.695,15.866,16.135,16.483,16.873,17.329,17.876,18.487,19.248,19.937,20.583,21.240,21.867,22.689,23.422,23.946,24.416,24.799,25.141,25.380,25.584,25.749,25.893,25.918,25.904,25.877,25.835,25.783,25.725,NPgN
CARR HILL,18.859,18.531,18.418,18.363,18.403,18.560,18.943,19.471,20.117,20.835,21.667,22.653,23.749,25.087,26.310,27.460,28.626,29.744,31.166,32.445,33.391,34.241,34.953,35.602,36.077,36.504,36.888,37.236,37.519,37.752,37.962,38.148,38.315,38.474,NPgN
CATTERICK CAMP,16.476,16.111,15.869,15.669,15.559,15.517,15.574,15.696,15.866,16.075,16.340,16.678,17.070,17.565,18.008,18.423,18.849,19.256,19.795,20.276,20.621,20.938,21.198,21.433,21.607,21.762,21.893,22.010,22.070,22.106,22.134,22.154,22.166,22.175,NPgN
CLOSE,24.913,24.609,24.277,23.978,23.755,23.584,23.430,23.295,23.152,23.032,22.937,22.871,22.827,22.830,22.827,22.825,22.834,22.846,22.896,22.941,22.961,22.980,22.993,23.008,23.011,23.029,23.066,23.104,23.140,23.174,23.209,23.243,23.278,23.313,NPgN
CONEYTHORPE,13.467,13.167,12.958,12.779,12.669,12.609,12.630,12.686,12.752,12.843,12.973,13.153,13.371,13.688,13.966,14.224,14.490,14.742,15.096,15.406,15.614,15.805,15.953,16.083,16.173,16.253,16.314,16.365,16.382,16.380,16.372,16.357,16.337,16.314,NPgN
CONSETT,20.110,21.127,20.840,20.589,20.401,20.266,20.196,20.165,20.159,20.181,20.240,20.343,20.479,20.687,20.864,21.029,21.203,21.369,21.611,21.824,21.964,22.093,22.193,22.283,22.343,22.396,22.440,22.477,22.490,22.492,22.490,22.484,22.475,22.465,NPgN
CORPORATION STREET,11.588,11.442,11.308,11.190,11.106,11.047,11.001,10.966,10.926,10.898,10.884,10.886,10.900,10.939,10.972,11.004,11.039,11.074,11.132,11.184,11.219,11.251,11.276,11.301,11.318,11.343,11.378,11.413,11.444,11.473,11.501,11.529,11.556,11.583,NPgN
