Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,92,90,90,92,95,145,205,232,383,550,729,923,1139,1379,1616,1833,2043,2246,2430,2624,2793,2949,3041,3124,3208,3293,3377,3462,3545,3629,3713,3797,3881,3966,NPgN
AMBERTON ROAD,117,127,135,141,150,177,227,251,380,527,686,858,1050,1265,1477,1670,1856,2035,2198,2368,2518,2655,2737,2813,2890,2967,3045,3122,3198,3273,3349,3425,3502,3578,NPgN
ANNFIELD 66/20KV,94,98,102,107,114,142,182,202,325,460,606,763,938,1136,1330,1508,1680,1846,1997,2155,2296,2428,2507,2579,2650,2722,2795,2867,2936,3006,3075,3145,3214,3284,NPgN
ASHINGTON,103,105,109,113,121,159,213,239,369,516,674,845,1036,1250,1461,1653,1839,2019,2183,2354,2504,2641,2724,2800,2877,2954,3031,3109,3184,3259,3335,3410,3486,3562,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,35,36,37,38,40,55,77,86,132,183,239,299,367,442,516,584,650,713,770,831,883,929,958,984,1010,1037,1064,1090,1117,1143,1169,1195,1222,1248,NPgN
BARDEN FRIAR,5,4,4,4,4,6,8,9,9,9,9,10,11,19,27,35,43,52,61,70,79,88,98,109,120,132,145,158,164,171,178,185,191,198,NPgN
BEDALE,76,81,87,92,98,104,122,134,177,229,288,352,423,513,602,685,763,841,913,987,1052,1114,1158,1202,1247,1293,1340,1387,1424,1462,1500,1538,1576,1614,NPgN
BELMONT,75,78,82,85,92,113,143,159,244,339,442,553,677,816,953,1078,1198,1314,1420,1530,1627,1718,1771,1821,1870,1920,1969,2019,2067,2115,2164,2212,2260,2309,NPgN
BENSHAM,56,57,58,60,63,80,105,118,172,234,302,375,457,549,639,722,801,878,948,1021,1083,1139,1173,1206,1240,1273,1307,1340,1373,1407,1440,1473,1506,1540,NPgN
BENTON SQUARE,64,65,66,68,71,102,144,162,233,315,405,503,613,735,856,967,1073,1177,1271,1370,1452,1523,1568,1612,1656,1701,1745,1790,1834,1878,1922,1966,2011,2055,NPgN
BENWELL,89,85,84,84,87,129,177,200,337,485,644,815,1007,1220,1430,1621,1807,1987,2151,2322,2474,2617,2700,2775,2849,2924,3000,3075,3149,3223,3297,3371,3446,3520,NPgN
BILLINGHAM MARSH HOUSE,79,80,81,83,86,122,170,191,301,426,561,706,869,1051,1230,1394,1553,1706,1845,1991,2118,2233,2301,2366,2430,2495,2560,2625,2689,2754,2818,2883,2947,3012,NPgN
BILLY MILL,51,51,51,52,54,80,111,125,186,256,332,414,506,609,711,803,893,980,1059,1142,1212,1274,1313,1350,1387,1424,1461,1499,1536,1573,1610,1647,1684,1721,NPgN
