Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,18.806,18.409,18.15,17.586,17.266,16.997,16.729,16.553,16.112,15.901,16.144,16.39,16.689,17.08,17.569,18.099,18.62,18.975,19.315,19.533,19.682,19.885,19.939,20.195,20.378,20.712,21.041,21.304,21.6,21.716,21.816,21.986,22.064,22.055,NPgN
AMBERTON ROAD,22.159,22.656,22.294,21.907,21.68,21.457,21.305,21.339,21.059,20.871,20.853,20.791,20.76,20.779,20.96,21.136,21.378,21.511,21.655,21.811,21.946,22.078,22.15,22.331,22.497,22.776,23.022,23.227,23.459,23.625,23.757,23.924,24.087,24.173,NPgN
ANNFIELD 66/20KV,23.435,24.928,24.593,24.095,23.82,23.551,23.305,23.172,22.734,22.496,22.614,22.713,22.858,23.077,23.443,23.814,24.231,24.483,24.727,24.896,25.005,25.134,25.166,25.36,25.514,25.817,26.046,26.24,26.434,26.572,26.669,26.824,26.924,26.927,NPgN
ASHINGTON,21.144,20.868,20.574,20.057,19.78,19.531,19.327,19.271,18.909,18.752,18.922,19.084,19.294,19.586,20.001,20.435,20.893,21.184,21.47,21.665,21.798,21.963,22.003,22.227,22.402,22.727,22.997,23.22,23.459,23.583,23.68,23.84,23.933,23.934,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,NPgN
AYCLIFFE INDUSTRIAL,13.499,13.989,13.765,13.577,13.471,13.347,13.261,13.252,13.087,13.026,13.045,13.05,13.061,13.097,13.242,13.374,13.548,13.674,13.798,13.921,14.031,14.126,14.211,14.337,14.457,14.629,14.794,14.933,15.108,15.189,15.252,15.328,15.413,15.462,NPgN
BARDEN FRIAR,0.589,0.588,0.584,0.577,0.578,0.577,0.576,0.584,0.581,0.597,0.625,0.654,0.681,0.709,0.743,0.774,0.807,0.836,0.864,0.883,0.895,0.904,0.912,0.917,0.904,0.908,0.903,0.905,0.9,0.903,0.903,0.906,0.904,0.898,NPgN
BEDALE,17.456,17.489,17.208,16.932,16.774,16.598,16.467,16.465,16.225,16.062,16.042,15.986,15.941,15.926,16.032,16.123,16.277,16.351,16.437,16.525,16.592,16.65,16.675,16.755,16.785,16.921,16.997,17.073,17.141,17.218,17.265,17.336,17.411,17.431,NPgN
BELMONT,22.56,23.048,22.706,22.31,22.085,21.847,21.641,21.54,21.162,20.935,20.978,20.994,21.05,21.16,21.417,21.664,21.972,22.147,22.312,22.43,22.499,22.57,22.587,22.723,22.826,23.047,23.197,23.324,23.45,23.543,23.592,23.682,23.746,23.724,NPgN
BENSHAM,19.577,19.464,19.165,18.758,18.508,18.254,18,17.802,17.377,17.07,17.134,17.176,17.264,17.405,17.659,17.919,18.211,18.385,18.54,18.637,18.674,18.725,18.712,18.824,18.853,18.999,19.099,19.179,19.251,19.295,19.3,19.348,19.352,19.275,NPgN
