Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,18.822,18.381,18.288,18.203,18.159,18.227,18.432,18.749,19.151,19.586,20.089,20.685,21.360,22.130,22.796,23.417,24.082,24.755,27.368,29.884,32.148,34.312,36.339,38.325,40.201,42.023,43.792,45.516,47.163,48.725,50.241,51.707,53.023,52.907,NPgN
AMBERTON ROAD,21.832,21.853,21.643,21.450,21.287,21.168,21.110,21.089,21.095,21.119,21.185,21.280,21.408,21.568,21.697,21.812,21.927,22.061,23.080,24.059,24.955,25.814,26.630,27.437,28.213,28.967,29.702,30.423,31.116,31.780,32.426,33.053,33.627,33.502,NPgN
ANNFIELD 66/20KV,23.376,24.645,24.477,24.330,24.231,24.196,24.309,24.532,24.819,25.140,25.542,26.030,26.590,27.235,27.778,28.286,28.831,29.400,31.601,33.701,35.577,37.370,39.046,40.673,42.186,43.640,45.043,46.403,47.686,48.884,50.034,51.131,52.130,51.958,NPgN
ASHINGTON,21.122,20.762,20.649,20.565,20.524,20.563,20.745,21.041,21.408,21.801,22.269,22.829,23.464,24.189,24.803,25.379,25.998,26.637,28.929,31.117,33.065,34.923,36.657,38.351,39.930,41.454,42.925,44.354,45.705,46.971,48.190,49.357,50.411,50.285,NPgN
AYCLIFFE FORREST,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NPgN
AYCLIFFE INDUSTRIAL,12.994,13.217,13.074,12.940,12.819,12.735,12.681,12.643,12.612,12.589,12.583,12.592,12.617,12.658,12.690,12.716,12.745,12.780,13.398,14.004,14.571,15.120,15.648,16.177,16.700,17.216,17.726,18.230,18.722,19.200,19.671,20.134,20.557,20.492,NPgN
BARDEN FRIAR,0.855,0.853,0.846,0.840,0.835,0.831,0.828,0.826,0.825,0.823,0.830,0.837,0.843,0.851,0.858,0.866,0.874,0.885,0.897,0.908,0.918,0.928,0.939,0.949,0.960,0.965,0.972,0.981,0.989,0.997,1.005,1.012,1.018,1.023,NPgN
BEDALE,18.200,17.828,17.684,17.567,17.477,17.397,17.361,17.352,17.359,17.376,17.432,17.509,17.601,17.718,17.816,17.912,18.015,18.134,18.641,19.128,19.578,20.016,20.436,20.856,21.262,21.648,22.034,22.417,22.789,23.152,23.507,23.856,24.194,24.215,NPgN
BELMONT,22.709,22.873,22.672,22.491,22.350,22.260,22.287,22.401,22.557,22.740,22.982,23.293,23.660,24.094,24.453,24.788,25.154,25.540,27.066,28.520,29.806,31.033,32.174,33.284,34.311,35.298,36.250,37.172,38.043,38.862,39.649,40.403,41.083,40.956,NPgN
BENSHAM,19.416,19.020,18.852,18.697,18.582,18.518,18.550,18.657,18.795,18.956,19.164,19.431,19.750,20.128,20.442,20.738,21.068,21.413,22.572,23.670,24.617,25.507,26.320,27.106,27.812,28.484,29.120,29.726,30.285,30.795,31.275,31.724,32.106,31.978,NPgN
