Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,85751.646,83734.394,83302.279,82914.809,82711.643,82955.879,83959.732,85389.146,87296.274,89359.464,91689.597,94411.600,97434.837,106793.512,115671.159,124132.421,132596.970,140855.852,149867.167,158435.819,165915.655,172953.512,179441.952,185644.289,191389.520,196955.304,202330.704,207182.289,207213.715,207010.541,206796.184,206483.853,206114.277,205724.585,NPgN
AMBERTON ROAD,121980.639,119255.163,118231.325,117328.629,116634.243,116326.443,116831.143,117776.132,119194.776,120775.754,122666.910,124951.744,127562.127,136015.310,144050.127,151650.910,159254.176,166740.296,175018.174,182816.028,189502.947,195745.151,201459.304,206861.105,211795.562,216548.277,221108.635,225292.336,225013.524,224508.995,224027.223,223411.652,222721.614,222004.552,NPgN
ANNFIELD 66/20KV,108726.655,106791.572,106024.859,105374.350,104949.795,104882.580,105698.165,106958.588,108701.915,110612.259,112847.204,115506.866,118481.453,127544.305,136208.459,144342.931,152563.820,160649.940,169594.752,178024.968,185298.950,192157.456,198453.988,204374.904,209758.469,214927.167,219878.104,224474.726,224413.349,223986.410,223620.683,223061.262,222398.471,221700.677,NPgN
ASHINGTON,100526.464,98802.401,98277.909,97900.722,97753.062,98061.627,99354.416,101213.493,103627.735,106193.955,109124.039,112574.671,116401.935,126629.862,136343.168,145466.740,154705.010,163752.565,173879.955,183382.557,191455.449,198994.059,205860.088,212367.537,218232.848,223850.814,229212.888,234136.528,234276.366,234045.403,233862.883,233475.540,232977.016,232439.883,NPgN
AYCLIFFE FORREST,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NPgN
AYCLIFFE INDUSTRIAL,50248.657,49410.678,48993.267,48618.751,48336.175,48264.331,48575.321,49042.714,49606.747,50230.612,50977.578,51890.728,52929.930,56158.752,59210.370,62135.926,65055.512,67911.757,71108.208,74122.615,76686.987,79071.325,81242.137,83316.186,85206.106,87029.009,88779.192,90366.541,90314.235,90182.987,90030.080,89848.190,89645.256,89432.411,NPgN
BARDEN FRIAR,2874.423,2862.822,2842.712,2828.190,2827.744,2844.461,2894.541,2964.359,3167.922,3362.813,3565.504,3779.324,3982.021,4289.824,4586.466,4883.929,5183.451,5485.704,5834.010,6154.778,6422.058,6674.350,6906.055,7027.770,7125.681,7218.454,7315.475,7427.172,7467.469,7502.428,7523.904,7540.018,7548.589,7558.816,NPgN
BEDALE,87989.116,86188.686,85579.007,85111.302,84819.772,84685.164,85074.821,85760.235,86874.278,88069.027,89458.531,91109.849,92919.443,97180.468,101273.232,105218.629,109174.015,113066.872,117532.237,121690.551,125171.503,128443.934,131422.148,134097.357,136470.306,138743.006,140924.433,143056.297,143351.660,143479.427,143555.255,143583.366,143570.745,143546.022,NPgN
BELMONT,119899.062,118020.086,116898.715,115885.915,115077.615,114570.453,114760.802,115299.044,116155.379,117156.999,118420.134,120024.718,121885.525,128128.574,134061.939,139704.432,145358.464,150898.111,157112.258,162951.512,167921.416,172592.298,176854.095,180873.832,184500.746,187979.019,191303.838,194328.391,194081.538,193617.832,193141.058,192584.292,191977.765,191352.514,NPgN
BENSHAM,81047.801,79388.939,78713.823,78099.091,77665.877,77472.685,77752.626,78259.523,78948.502,79729.528,80686.733,81869.113,83234.733,87402.795,91328.710,95010.084,98733.297,102388.279,106520.807,110386.937,113631.882,116636.211,119343.081,121902.669,124174.030,126330.172,128366.486,130205.427,130005.592,129676.243,129366.588,128968.917,128523.815,128060.822,NPgN
