Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,0.004,0.023,0.045,0.045,0.051,0.107,0.116,0.122,0.149,0.165,0.175,0.300,0.395,0.623,0.826,0.990,1.364,1.634,1.888,2.241,2.550,3.059,3.243,3.312,3.522,3.578,3.687,3.742,3.742,3.742,3.742,3.743,3.743,3.743,NPgN
AMBERTON ROAD,0.003,0.039,0.081,0.081,0.094,0.146,0.163,0.176,0.208,0.240,0.260,0.385,0.471,0.676,0.859,1.006,1.345,1.591,1.824,2.145,2.431,2.891,3.060,3.125,3.322,3.374,3.473,3.522,3.522,3.523,3.523,3.524,3.524,3.524,NPgN
ANNFIELD 66/20KV,0.004,0.050,0.099,0.099,0.115,0.179,0.193,0.208,0.246,0.279,0.303,0.448,0.549,0.792,1.003,1.178,1.579,1.867,2.142,2.523,2.860,3.405,3.604,3.681,3.904,3.966,4.082,4.141,4.141,4.142,4.142,4.142,4.142,4.142,NPgN
ASHINGTON,0.006,0.041,0.081,0.081,0.093,0.179,0.195,0.207,0.251,0.281,0.300,0.496,0.641,0.992,1.303,1.555,2.129,2.544,2.935,3.478,3.954,4.735,5.019,5.126,5.452,5.538,5.706,5.790,5.790,5.791,5.791,5.791,5.791,5.791,NPgN
AYCLIFFE FORREST,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NPgN
AYCLIFFE INDUSTRIAL,0.002,0.017,0.034,0.034,0.039,0.063,0.068,0.074,0.087,0.099,0.108,0.162,0.200,0.292,0.373,0.439,0.591,0.701,0.805,0.948,1.076,1.282,1.357,1.386,1.472,1.495,1.539,1.561,1.561,1.562,1.562,1.562,1.562,1.562,NPgN
BARDEN FRIAR,0.000,0.007,0.013,0.013,0.015,0.019,0.020,0.023,0.026,0.030,0.033,0.042,0.048,0.060,0.071,0.080,0.101,0.116,0.131,0.152,0.171,0.200,0.211,0.215,0.227,0.230,0.236,0.239,0.239,0.239,0.239,0.239,0.239,0.239,NPgN
BEDALE,0.003,0.057,0.112,0.112,0.131,0.179,0.189,0.206,0.240,0.274,0.301,0.410,0.479,0.650,0.790,0.912,1.195,1.396,1.591,1.861,2.103,2.486,2.628,2.685,2.834,2.878,2.960,3.001,3.001,3.002,3.002,3.002,3.003,3.003,NPgN
BELMONT,0.003,0.030,0.062,0.062,0.072,0.117,0.129,0.139,0.165,0.189,0.204,0.308,0.381,0.555,0.710,0.836,1.123,1.331,1.528,1.801,2.042,2.433,2.575,2.630,2.797,2.840,2.924,2.966,2.966,2.967,2.967,2.967,2.967,2.967,NPgN
BENSHAM,0.002,0.017,0.035,0.035,0.040,0.072,0.080,0.085,0.102,0.116,0.124,0.199,0.254,0.384,0.501,0.595,0.809,0.964,1.110,1.313,1.491,1.783,1.889,1.929,2.052,2.085,2.147,2.179,2.179,2.179,2.179,2.179,2.179,2.179,NPgN
