Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,19030.376,18579.733,18347.750,18132.356,17932.933,17748.717,17579.151,17423.690,17281.795,17152.945,17036.606,16932.253,16839.359,16757.399,16685.874,16624.265,16572.052,16528.708,16493.714,16466.544,16446.691,16433.631,16426.843,16423.124,16419.474,16415.892,16412.376,16408.864,16405.463,16402.128,16398.861,16395.662,16392.532,16389.472,NPgN
AMBERTON ROAD,70227.335,68730.988,67864.014,67057.336,66308.956,65616.878,64979.109,64393.661,63858.551,63371.796,62931.420,62535.449,62181.914,61868.848,61594.289,61356.277,61152.858,60982.078,60841.989,60730.647,60646.110,60586.439,60549.700,60524.101,60498.569,60473.104,60447.706,60422.375,60397.110,60371.912,60346.781,60321.715,60296.715,60271.781,NPgN
ANNFIELD 66/20KV,53507.205,52895.976,52233.603,51618.410,51048.656,50522.265,50037.639,49593.246,49187.544,48819.066,48486.239,48187.592,47921.595,47686.746,47481.613,47304.710,47154.559,47029.647,46928.439,46849.476,46791.292,46752.422,46731.361,46719.005,46706.826,46694.827,46683.015,46671.501,46660.103,46648.899,46637.893,46627.085,46616.479,46606.077,NPgN
ASHINGTON,38824.746,38650.665,38324.875,38055.700,37835.950,37648.491,37490.330,37360.297,37256.913,37180.785,37129.293,37102.778,37099.778,37119.527,37163.301,37230.644,37321.274,37433.832,37566.141,37718.269,37889.994,38081.013,38289.772,38508.751,38731.437,38957.955,39188.526,39426.436,39666.258,39910.361,40158.814,40411.686,40669.048,40930.972,NPgN
AYCLIFFE FORREST,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NPgN
AYCLIFFE INDUSTRIAL,30071.592,29728.786,29353.676,29004.649,28680.841,28381.388,28105.427,27852.099,27620.546,27409.909,27219.335,27047.968,26894.956,26759.450,26640.600,26537.558,26449.479,26375.517,26314.831,26266.578,26229.919,26204.016,26188.031,26176.864,26165.727,26154.619,26143.540,26132.490,26121.469,26110.477,26099.515,26088.581,26077.675,26066.799,NPgN
BARDEN FRIAR,2564.206,2565.200,2549.141,2537.990,2530.612,2525.275,2521.888,2520.412,2520.813,2522.663,2526.196,2531.306,2537.834,2546.046,2555.880,2567.422,2580.819,2595.762,2612.371,2630.582,2650.488,2672.102,2695.119,2719.080,2743.442,2768.226,2793.414,2818.403,2844.242,2870.497,2897.173,2924.277,2951.815,2979.793,NPgN
BEDALE,65916.070,64666.335,64176.541,63803.310,63520.856,63291.985,63111.524,62974.500,62879.892,62827.554,62815.439,62847.879,62916.421,63026.453,63175.906,63367.944,63601.309,63874.703,64181.579,64524.647,64905.317,65320.602,65767.669,66233.989,66708.392,67191.567,67683.018,68179.826,68686.877,69202.421,69726.587,70259.511,70801.326,71352.171,NPgN
BELMONT,79650.279,78762.644,77769.683,76845.805,75988.721,75196.145,74465.795,73795.394,73182.670,72625.353,72121.178,71667.886,71263.220,70904.927,70590.758,70318.471,70085.824,69890.581,69730.510,69603.381,69506.972,69439.060,69397.428,69368.563,69339.774,69311.061,69282.423,69253.860,69225.373,69196.960,69168.622,69140.359,69112.170,69084.055,NPgN
BENSHAM,41255.135,40447.966,39938.009,39463.530,39023.353,38616.303,38241.211,37896.905,37582.219,37295.987,37037.046,36804.236,36596.398,36412.374,36251.011,36111.155,35991.656,35891.366,35809.138,35743.827,35694.291,35659.391,35637.986,35623.138,35608.328,35593.557,35578.826,35564.133,35549.478,35534.863,35520.285,35505.746,35491.245,35476.783,NPgN
BENTON SQUARE,33958.719,33696.148,33422.854,33199.318,33020.468,32869.824,32745.040,32644.390,32567.042,32513.733,32482.618,32473.614,32485.889,32518.774,32573.525,32649.281,32745.082,32861.081,32995.473,33148.370,33319.270,33508.002,33713.272,33928.530,34147.666,34370.760,34597.804,34833.881,35071.611,35314.033,35561.227,35813.273,36070.252,36332.250,NPgN
BENWELL,48018.583,47112.557,46676.839,46296.148,45965.220,45671.503,45416.533,45199.344,45020.036,44876.458,44767.471,44687.699,44637.403,44615.871,44624.076,44656.664,44712.187,44791.827,44897.155,45025.205,45172.175,45335.946,45520.134,45717.899,45920.716,46127.905,46339.288,46542.580,46757.353,46975.770,47197.886,47423.756,47653.437,47886.988,NPgN
BILLINGHAM MARSH HOUSE,18912.181,18776.098,18634.101,18521.897,18435.354,18363.902,18306.078,18260.999,18227.993,18207.087,18197.802,18199.977,18213.255,18237.347,18273.160,18320.608,18379.568,18449.430,18530.110,18620.946,18722.294,18833.594,18954.335,19080.765,19209.461,19340.453,19473.637,19606.233,19743.024,19882.053,20023.353,20166.960,20312.909,20461.236,NPgN
BILLY MILL,46490.651,46131.308,45756.694,45450.177,45204.821,44998.084,44826.754,44688.464,44582.072,44508.589,44465.490,44452.664,44468.969,44513.491,44587.941,44691.149,44821.798,44980.095,45163.565,45372.363,45605.805,45863.656,46144.138,46438.285,46737.732,47042.590,47352.849,47675.483,48000.364,48331.661,48669.484,49013.943,49365.150,49723.219,NPgN
BIRTLEY GROVE 66/11KV,52505.787,51634.816,50987.619,50386.425,49829.559,49314.989,48841.183,48406.622,48009.831,47649.339,47323.671,47031.354,46770.912,46540.873,46339.812,46166.300,46018.872,45896.054,45796.394,45718.443,45660.753,45621.879,45600.372,45587.358,45574.499,45561.798,45549.254,45536.723,45524.436,45512.302,45500.320,45488.493,45476.822,45465.309,NPgN
BIRTLEY GROVE 66/20KV,28813.288,28280.808,27924.075,27592.151,27284.216,26999.447,26737.025,26496.131,26275.949,26075.665,25894.464,25731.535,25586.066,25457.250,25344.278,25246.344,25162.643,25092.373,25034.732,24988.919,24954.135,24929.584,24914.468,24903.935,24893.431,24882.954,24872.504,24862.082,24851.687,24841.320,24830.980,24820.668,24810.382,24800.123,NPgN
BLAYDON BURN,30951.588,30346.010,29962.870,29606.386,29275.669,28969.819,28687.960,28429.215,28192.706,27977.558,27782.896,27607.843,27451.530,27313.089,27191.657,27086.361,26996.337,26920.727,26858.673,26809.315,26771.790,26745.243,26728.825,26717.332,26705.878,26694.461,26683.081,26671.720,26660.405,26649.127,26637.884,26626.676,26615.505,26604.369,NPgN
BLUCHER 33/11KV,25838.459,25350.888,25115.204,24909.079,24729.696,24570.352,24431.859,24313.695,24215.905,24137.335,24077.369,24033.133,24004.760,23991.862,23994.951,24011.164,24039.723,24081.250,24136.578,24204.117,24281.833,24368.589,24466.307,24571.303,24678.996,24789.022,24901.286,25009.235,25123.310,25239.330,25357.325,25477.323,25599.356,25723.454,NPgN
BOLDON DOWNHILL,20097.850,19589.312,19345.829,19120.152,18911.558,18719.012,18541.912,18379.670,18231.735,18097.556,17976.580,17868.252,17772.015,17687.312,17613.628,17550.441,17497.199,17453.338,17418.313,17391.580,17372.597,17360.819,17355.700,17353.865,17352.141,17350.531,17349.034,17347.523,17346.203,17344.992,17343.890,17342.899,17342.022,17341.257,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,55361.414,54273.890,53924.485,53693.338,53549.324,53450.712,53392.292,53366.291,53372.975,53414.290,53491.063,53603.136,53747.386,53924.221,54139.939,54395.030,54688.856,55018.115,55377.485,55772.284,56203.190,56669.712,57166.362,57682.054,58207.734,58743.589,59289.999,59832.384,60393.257,60963.752,61544.022,62134.222,62734.510,63345.044,NPgN
BOWESFIELD 33/11KV,34167.167,33921.184,33664.539,33461.707,33305.227,33176.011,33071.418,32989.851,32930.099,32892.206,32875.311,32879.120,32902.988,32946.393,33010.973,33096.572,33202.966,33329.055,33474.684,33638.662,33821.626,34022.568,34240.564,34468.834,34701.196,34937.707,35178.173,35417.579,35664.560,35915.581,36170.705,36429.995,36693.514,36961.325,NPgN
