Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,21,31,50,78,145,261,499,886,1392,1951,2610,3375,4239,5201,6068,6930,7831,8755,9880,10934,11912,12814,13640,14395,14934,15408,15815,16162,16444,16664,16834,16955,17031,17076,NPgN
AMBERTON ROAD,22,33,53,79,144,253,473,822,1265,1756,2334,3005,3762,4605,5365,6122,6912,7722,8706,9629,10486,11277,12001,12663,13137,13552,13909,14214,14461,14654,14803,14909,14976,15015,NPgN
ANNFIELD 66/20KV,32,48,79,114,201,343,622,1049,1568,2144,2822,3607,4494,5480,6370,7257,8182,9129,10279,11357,12360,13286,14134,14910,15464,15951,16369,16726,17016,17243,17418,17543,17622,17667,NPgN
ASHINGTON,29,43,69,106,196,351,664,1171,1826,2552,3406,4398,5518,6765,7889,9007,10175,11373,12830,14197,15464,16633,17704,18683,19383,19997,20524,20975,21340,21626,21846,22003,22102,22160,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,18,27,44,62,104,170,295,474,672,893,1153,1453,1792,2168,2509,2848,3201,3563,3999,4409,4792,5146,5470,5767,5979,6165,6325,6462,6573,6660,6727,6775,6806,6823,NPgN
BARDEN FRIAR,1,2,3,4,7,12,22,37,55,74,98,125,155,189,220,250,282,315,354,391,426,458,487,514,533,549,564,576,586,594,600,604,607,608,NPgN
BEDALE,15,23,38,56,100,175,324,559,853,1179,1562,2007,2510,3069,3574,4076,4600,5138,5790,6403,6971,7496,7977,8416,8730,9006,9243,9445,9609,9738,9837,9907,9952,9978,NPgN
BELMONT,27,40,65,93,161,271,483,800,1175,1590,2080,2645,3285,3995,4638,5277,5943,6627,7453,8230,8953,9620,10232,10791,11191,11542,11843,12101,12310,12474,12600,12691,12748,12781,NPgN
BENSHAM,20,29,48,68,119,201,359,597,879,1193,1562,1990,2472,3009,3494,3977,4480,4996,5621,6207,6754,7258,7720,8142,8444,8709,8937,9131,9289,9413,9508,9576,9619,9644,NPgN
BENTON SQUARE,23,34,55,81,145,251,462,791,1199,1652,2184,2802,3500,4276,4976,5673,6400,7146,8052,8901,9690,10418,11085,11696,12131,12514,12843,13124,13351,13530,13667,13765,13827,13863,NPgN
BENWELL,10,15,25,40,79,148,293,537,868,1233,1663,2163,2727,3356,3922,4486,5075,5679,6415,7105,7744,8334,8873,9367,9719,10028,10294,10521,10705,10849,10960,11039,11088,11117,NPgN
BILLINGHAM MARSH HOUSE,27,40,65,96,172,299,551,944,1436,1980,2621,3364,4204,5138,5980,6819,7694,8591,9681,10703,11653,12529,13332,14066,14590,15051,15446,15784,16058,16273,16438,16556,16630,16674,NPgN
BILLY MILL,14,20,33,52,97,178,343,614,972,1368,1834,2376,2987,3668,4282,4893,5531,6185,6982,7728,8421,9059,9644,10179,10561,10896,11184,11430,11629,11785,11905,11991,12045,12076,NPgN
BIRTLEY GROVE 66/11KV,15,23,37,55,96,166,301,510,766,1050,1384,1770,2207,2693,3132,3569,4024,4491,5058,5590,6084,6540,6958,7340,7613,7853,8059,8235,8378,8489,8576,8637,8676,8699,NPgN
BIRTLEY GROVE 66/20KV,10,15,24,35,62,105,190,319,475,648,852,1088,1354,1651,1918,2185,2463,2747,3093,3417,3718,3996,4251,4484,4651,4797,4923,5030,5117,5185,5238,5276,5299,5313,NPgN
BLAYDON BURN,26,38,62,88,151,252,444,727,1055,1420,1849,2344,2904,3526,4089,4649,5233,5831,6554,7233,7867,8451,8987,9477,9827,10135,10399,10625,10808,10951,11062,11142,11192,11221,NPgN
BLUCHER 33/11KV,16,23,38,57,103,183,341,594,914,1269,1687,2172,2720,3330,3880,4428,4999,5585,6297,6964,7584,8156,8680,9159,9502,9802,10060,10281,10459,10599,10707,10784,10833,10861,NPgN
BOLDON DOWNHILL,18,26,43,62,110,188,342,579,869,1191,1570,2008,2503,3055,3552,4047,4564,5093,5736,6338,6899,7416,7890,8323,8633,8904,9138,9338,9499,9626,9724,9793,9838,9863,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,8,12,20,29,50,85,153,255,376,511,669,853,1060,1290,1499,1706,1922,2143,2412,2664,2898,3114,3313,3494,3624,3737,3835,3919,3986,4039,4080,4110,4128,4139,NPgN
BOWESFIELD 33/11KV,16,24,38,57,103,180,333,574,878,1214,1610,2069,2588,3165,3686,4204,4745,5299,5973,6605,7191,7733,8229,8683,9007,9291,9535,9744,9913,10046,10148,10221,10267,10293,NPgN
BOWESFIELD 66/11KV,10,15,24,37,68,121,230,405,631,882,1177,1520,1908,2339,2727,3114,3518,3932,4436,4908,5346,5751,6121,6460,6702,6914,7096,7252,7378,7477,7553,7608,7642,7662,NPgN
BRANCEPETH,40,60,98,140,243,411,733,1217,1790,2426,3175,4041,5020,6109,7092,8071,9091,10138,11404,12593,13700,14722,15659,16515,17127,17664,18126,18521,18840,19091,19285,19423,19510,19561,NPgN
BREAMISH STREET,8,12,20,29,51,88,160,269,403,552,727,929,1158,1412,1641,1870,2108,2353,2649,2927,3186,3425,3643,3843,3986,4112,4220,4312,4386,4445,4490,4522,4542,4554,NPgN
BRENDA TRADING,22,33,54,83,153,275,523,925,1447,2025,2705,3495,4387,5380,6275,7166,8096,9050,10212,11300,12309,13240,14093,14874,15431,15919,16340,16699,16990,17217,17393,17517,17596,17642,NPgN
CAMPLESHON ROAD,32,48,79,111,190,316,555,906,1309,1758,2285,2895,3583,4349,5041,5730,6448,7184,8073,8908,9687,10406,11066,11669,12099,12477,12802,13080,13306,13482,13619,13716,13778,13814,NPgN
CARLEY HILL,29,43,70,101,177,299,537,897,1327,1805,2367,3017,3752,4569,5307,6042,6808,7593,8544,9437,10268,11036,11739,12382,12841,13244,13591,13887,14127,14315,14460,14564,14629,14668,NPgN
CARLIN HOW T3 T4,15,23,37,60,116,216,424,773,1241,1760,2370,3079,3881,4773,5577,6377,7212,8069,9115,10094,11000,11837,12603,13303,13803,14242,14619,14942,15203,15407,15564,15676,15746,15787,NPgN
CARR HILL,23,35,57,86,158,280,527,922,1429,1990,2650,3417,4283,5246,6115,6980,7883,8808,9934,10989,11969,12873,13701,14458,14998,15473,15881,16229,16511,16732,16903,17024,17101,17145,NPgN
CATTERICK CAMP,15,23,37,58,111,205,399,720,1149,1623,2181,2829,3562,4377,5112,5843,6607,7390,8344,9239,10067,10832,11532,12172,12629,13030,13375,13670,13908,14095,14239,14341,14406,14443,NPgN
CLOSE,3,5,8,13,24,45,89,160,256,362,487,632,796,979,1144,1307,1478,1654,1867,2068,2253,2425,2581,2725,2827,2917,2994,3060,3113,3155,3187,3210,3225,3233,NPgN
CONEYTHORPE,18,27,44,64,112,192,347,584,871,1189,1564,1997,2488,3033,3525,4015,4526,5050,5685,6281,6835,7347,7816,8245,8551,8820,9051,9248,9408,9534,9631,9700,9743,9769,NPgN
CONSETT,30,45,74,110,198,347,645,1115,1708,2365,3138,4035,5048,6175,7192,8204,9260,10343,11659,12894,14040,15097,16066,16952,17585,18140,18618,19025,19356,19615,19814,19956,20046,20098,NPgN
