Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,21,52,58,89,164,298,575,1035,1653,2334,3137,4071,5125,6299,7357,8409,9508,10636,12011,13299,14492,15592,16600,17521,18180,18757,19254,19678,20021,20290,20497,20644,20737,20791,NPgN
AMBERTON ROAD,22,54,61,90,158,277,517,904,1407,1962,2616,3375,4233,5188,6048,6905,7799,8716,9832,10878,11849,12744,13564,14314,14850,15320,15724,16069,16349,16568,16737,16857,16933,16977,NPgN
ANNFIELD 66/20KV,33,81,91,127,214,359,642,1079,1613,2204,2901,3708,4620,5634,6549,7461,8411,9385,10567,11677,12708,13660,14532,15330,15900,16400,16830,17197,17495,17728,17908,18036,18117,18164,NPgN
ASHINGTON,29,71,80,116,201,347,638,1102,1692,2345,3115,4007,5015,6137,7149,8156,9207,10285,11596,12824,13965,15018,15982,16863,17493,18046,18521,18927,19256,19513,19712,19853,19943,19994,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,19,46,51,69,111,178,303,485,687,913,1178,1484,1830,2215,2563,2909,3270,3640,4085,4504,4896,5257,5588,5891,6108,6298,6462,6601,6715,6803,6872,6921,6952,6970,NPgN
BARDEN FRIAR,2,3,4,5,8,12,20,32,45,60,78,98,121,147,170,193,217,242,271,299,325,349,371,391,406,418,429,438,446,452,456,460,462,463,NPgN
BEDALE,16,39,44,60,98,160,280,457,666,897,1169,1483,1839,2234,2591,2947,3318,3698,4157,4589,4991,5362,5702,6013,6236,6431,6599,6742,6858,6949,7020,7070,7102,7120,NPgN
BELMONT,27,67,75,104,172,283,497,820,1202,1627,2126,2704,3357,4084,4740,5393,6074,6772,7617,8411,9150,9832,10457,11029,11437,11795,12104,12367,12581,12748,12877,12969,13028,13062,NPgN
BENSHAM,20,49,55,78,134,227,411,699,1059,1457,1926,2470,3084,3767,4384,4997,5638,6294,7091,7839,8534,9175,9763,10300,10684,11020,11310,11557,11758,11915,12036,12122,12177,12208,NPgN
BENTON SQUARE,23,57,64,92,159,273,501,862,1320,1827,2424,3117,3900,4771,5556,6338,7154,7990,9007,9961,10846,11663,12412,13096,13585,14014,14383,14698,14954,15153,15308,15417,15487,15527,NPgN
BENWELL,11,26,29,49,97,187,379,712,1178,1691,2296,3000,3796,4682,5480,6273,7102,7953,8993,9966,10866,11697,12456,13151,13648,14083,14458,14777,15036,15238,15394,15505,15575,15615,NPgN
BILLINGHAM MARSH HOUSE,27,67,75,106,180,303,547,924,1391,1909,2518,3224,4021,4908,5709,6506,7337,8190,9224,10195,11097,11930,12693,13390,13889,14326,14702,15023,15284,15488,15645,15757,15828,15869,NPgN
BILLY MILL,14,34,38,59,108,195,375,675,1076,1520,2042,2649,3334,4098,4785,5469,6184,6917,7811,8649,9424,10140,10795,11394,11822,12198,12521,12797,13020,13195,13329,13425,13485,13520,NPgN
BIRTLEY GROVE 66/11KV,16,39,43,62,105,178,322,548,830,1142,1509,1935,2416,2952,3435,3915,4417,4931,5556,6142,6686,7188,7648,8069,8370,8634,8860,9054,9211,9334,9429,9497,9539,9564,NPgN
BIRTLEY GROVE 66/20KV,10,25,28,40,69,117,212,361,548,755,998,1280,1599,1954,2274,2593,2925,3266,3680,4069,4429,4762,5067,5346,5545,5720,5871,5999,6103,6185,6248,6292,6321,6337,NPgN
BLAYDON BURN,26,64,72,100,169,283,505,847,1264,1726,2271,2901,3613,4405,5120,5832,6575,7336,8259,9126,9931,10675,11356,11979,12425,12815,13151,13438,13671,13853,13993,14094,14157,14194,NPgN
BLUCHER 33/11KV,16,39,44,67,123,222,426,764,1216,1715,2303,2986,3758,4617,5391,6161,6966,7791,8798,9740,10613,11419,12156,12831,13313,13736,14099,14410,14661,14858,15009,15117,15185,15224,NPgN
BOLDON DOWNHILL,18,44,49,71,122,210,384,661,1011,1398,1854,2383,2981,3646,4246,4844,5467,6106,6883,7611,8287,8911,9483,10006,10379,10707,10989,11229,11424,11577,11695,11779,11832,11862,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,9,21,24,32,51,81,139,221,313,415,536,675,832,1006,1164,1322,1485,1653,1855,2046,2223,2387,2538,2675,2774,2860,2934,2997,3049,3089,3120,3143,3157,3165,NPgN
BOWESFIELD 33/11KV,16,40,45,63,108,182,330,562,850,1170,1546,1982,2475,3023,3518,4011,4524,5051,5691,6291,6848,7363,7834,8265,8573,8843,9076,9274,9435,9561,9658,9727,9771,9796,NPgN
BOWESFIELD 66/11KV,10,25,28,41,71,123,228,395,611,849,1130,1455,1823,2233,2602,2970,3353,3747,4225,4674,5090,5474,5826,6148,6378,6579,6753,6901,7021,7115,7187,7239,7271,7290,NPgN
BRANCEPETH,41,101,113,156,259,428,754,1246,1831,2481,3246,4131,5132,6244,7248,8249,9291,10360,11655,12870,14001,15045,16003,16878,17503,18052,18524,18927,19254,19511,19708,19849,19939,19991,NPgN
BREAMISH STREET,9,21,24,34,60,105,195,341,530,738,984,1269,1591,1949,2272,2594,2930,3274,3693,4086,4450,4786,5094,5376,5577,5753,5905,6035,6140,6222,6285,6330,6359,6375,NPgN
BRENDA TRADING,23,55,62,94,169,302,574,1021,1613,2267,3036,3931,4941,6066,7079,8088,9141,10221,11538,12771,13914,14969,15935,16818,17449,18002,18478,18885,19214,19471,19670,19811,19900,19952,NPgN
CAMPLESHON ROAD,33,81,91,123,202,327,565,916,1320,1768,2296,2906,3595,4362,5054,5744,6462,7199,8088,8924,9704,10423,11083,11687,12118,12496,12822,13100,13325,13502,13639,13736,13798,13834,NPgN
CARLEY HILL,29,72,81,115,195,328,591,999,1502,2060,2718,3479,4339,5296,6160,7020,7917,8836,9953,11000,11973,12871,13694,14447,14984,15456,15862,16208,16489,16709,16879,17000,17076,17121,NPgN
CARLIN HOW T3 T4,16,38,43,67,124,226,437,792,1269,1796,2417,3139,3954,4862,5680,6494,7344,8216,9280,10276,11199,12050,12829,13542,14051,14498,14882,15210,15475,15683,15843,15957,16028,16070,NPgN
CARR HILL,24,59,66,100,181,324,619,1105,1750,2462,3301,4276,5378,6604,7709,8809,9957,11135,12571,13915,15162,16311,17364,18327,19015,19618,20137,20580,20939,21220,21436,21590,21687,21744,NPgN
CATTERICK CAMP,16,38,43,62,108,186,343,595,917,1272,1692,2178,2727,3339,3890,4439,5012,5599,6314,6983,7605,8178,8704,9184,9527,9829,10088,10309,10488,10628,10736,10813,10862,10890,NPgN
CLOSE,4,9,10,16,30,57,114,211,347,496,672,876,1107,1365,1596,1827,2068,2315,2616,2899,3160,3402,3622,3824,3968,4095,4204,4296,4372,4430,4476,4508,4528,4540,NPgN
