Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,93,92,94,94,97,102,112,125,281,442,616,811,1039,1300,1558,1797,2035,2258,3410,4576,5751,6930,8079,9145,10211,11275,12337,13396,14453,15507,16559,17609,18584,18653,NPgN
AMBERTON ROAD,117,129,139,150,164,180,202,228,350,488,642,816,1019,1252,1483,1698,1910,2108,3070,4044,5024,6006,6959,7850,8744,9636,10526,11414,12300,13183,14065,14945,15769,15835,NPgN
ANNFIELD 66/20KV,95,100,106,114,128,147,173,204,316,440,579,737,922,1133,1342,1536,1728,1909,2886,3876,4873,5872,6845,7765,8690,9615,10539,11463,12386,13308,14230,15150,16029,16112,NPgN
ASHINGTON,103,107,112,119,133,155,185,219,343,480,633,805,1007,1238,1466,1679,1891,2089,3187,4296,5410,6525,7610,8636,9666,10695,11723,12748,13773,14795,15816,16834,17793,17869,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,35,37,38,40,43,46,51,58,105,156,210,272,344,426,507,582,657,728,1121,1518,1916,2316,2705,3071,3436,3801,4164,4527,4889,5250,5610,5969,6302,6323,NPgN
BARDEN FRIAR,4,4,4,4,5,5,6,6,7,7,11,14,17,21,25,30,35,41,47,54,61,69,77,86,94,101,109,116,124,132,139,146,153,159,NPgN
BEDALE,75,82,89,98,113,131,156,184,214,259,317,385,463,553,642,727,812,892,1234,1583,1934,2284,2623,2950,3284,3616,3948,4281,4614,4948,5280,5612,5942,5991,NPgN
BELMONT,75,80,85,92,104,120,141,166,243,330,428,540,670,819,967,1104,1239,1366,2068,2777,3489,4201,4893,5549,6208,6866,7523,8179,8835,9489,10142,10794,11410,11458,NPgN
BENSHAM,55,58,60,61,65,73,83,95,149,209,276,351,440,541,641,735,828,915,1480,2047,2616,3184,3740,4268,4797,5325,5851,6376,6900,7423,7944,8464,8946,8972,NPgN
BENTON SQUARE,64,66,68,71,75,82,93,107,182,264,353,454,572,706,840,964,1089,1206,2044,2885,3727,4569,5394,6181,6967,7751,8533,9314,10092,10868,11642,12414,13130,13162,NPgN
BENWELL,90,88,88,87,91,97,108,122,262,406,562,735,937,1168,1396,1607,1818,2014,2876,3753,4638,5528,6391,7183,7975,8764,9552,10339,11124,11907,12688,13468,14194,14258,NPgN
BILLINGHAM MARSH HOUSE,80,81,83,85,89,95,107,122,234,353,484,631,803,1001,1197,1379,1560,1729,2606,3494,4389,5287,6162,6979,7797,8614,9430,10245,11058,11869,12679,13487,14250,14312,NPgN
BILLY MILL,51,52,53,53,55,60,68,77,142,211,285,370,468,580,692,796,899,996,1714,2433,3154,3876,4583,5257,5931,6603,7273,7941,8609,9274,9938,10601,11215,11241,NPgN
BIRTLEY GROVE 66/11KV,43,45,46,48,52,56,64,73,128,188,253,327,414,513,612,703,794,880,1401,1926,2453,2981,3497,3985,4474,4961,5448,5933,6418,6902,7385,7866,8317,8346,NPgN
BIRTLEY GROVE 66/20KV,30,31,32,33,36,39,44,50,88,129,172,221,278,343,407,467,526,581,928,1277,1627,1978,2322,2646,2971,3295,3618,3940,4262,4584,4904,5224,5523,5542,NPgN
BLAYDON BURN,57,57,58,58,62,68,76,87,171,258,351,455,575,713,849,975,1100,1218,2000,2786,3576,4366,5141,5872,6603,7332,8059,8785,9510,10233,10955,11674,12343,12378,NPgN
BLUCHER 33/11KV,76,72,71,69,70,74,83,94,235,380,534,708,910,1140,1369,1580,1791,1988,2858,3744,4638,5537,6410,7209,8007,8804,9600,10393,11185,11975,12764,13551,14283,14347,NPgN
BOLDON DOWNHILL,51,56,61,67,75,87,102,121,172,232,301,379,471,577,682,780,877,968,1605,2245,2887,3529,4156,4758,5364,5969,6573,7177,7780,8382,8983,9584,10152,10190,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,29,33,35,39,44,50,58,68,72,82,96,112,131,153,174,195,215,234,385,537,688,839,986,1133,1281,1430,1578,1727,1875,2024,2172,2321,2469,2483,NPgN
BOWESFIELD 33/11KV,56,56,58,59,63,69,77,86,163,241,326,420,529,653,775,888,1001,1106,1664,2227,2794,3363,3918,4434,4950,5465,5978,6490,7002,7512,8021,8529,9001,9034,NPgN
BOWESFIELD 66/11KV,46,46,47,47,49,53,59,67,122,180,243,314,396,490,583,671,758,841,1252,1668,2087,2506,2914,3294,3675,4054,4432,4808,5184,5558,5930,6302,6646,6670,NPgN
