Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,0.004,0.025,0.050,0.050,0.058,0.118,0.130,0.140,0.172,0.195,0.210,0.361,0.478,0.760,1.020,1.241,1.735,2.111,2.482,2.997,3.471,4.239,4.580,4.768,5.070,5.151,5.307,5.386,5.386,5.386,5.386,5.387,5.387,5.387,NPgN
AMBERTON ROAD,0.003,0.043,0.090,0.090,0.106,0.165,0.187,0.205,0.245,0.288,0.318,0.470,0.581,0.837,1.075,1.277,1.728,2.077,2.419,2.894,3.337,4.038,4.354,4.534,4.820,4.895,5.038,5.109,5.109,5.110,5.110,5.111,5.111,5.111,NPgN
ANNFIELD 66/20KV,0.004,0.055,0.111,0.111,0.131,0.201,0.220,0.242,0.289,0.335,0.370,0.547,0.676,0.979,1.254,1.493,2.026,2.434,2.839,3.399,3.922,4.751,5.124,5.336,5.658,5.747,5.915,5.999,5.999,6.000,6.000,6.001,6.002,6.002,NPgN
ASHINGTON,0.006,0.045,0.090,0.090,0.106,0.199,0.221,0.238,0.292,0.333,0.362,0.598,0.780,1.213,1.613,1.954,2.713,3.294,3.865,4.659,5.391,6.572,7.098,7.390,7.860,7.984,8.225,8.345,8.345,8.347,8.347,8.347,8.348,8.348,NPgN
AYCLIFFE FORREST,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NPgN
AYCLIFFE INDUSTRIAL,0.002,0.019,0.038,0.038,0.044,0.070,0.078,0.085,0.103,0.119,0.131,0.197,0.246,0.361,0.466,0.556,0.758,0.912,1.065,1.277,1.474,1.787,1.928,2.008,2.131,2.165,2.228,2.260,2.260,2.261,2.261,2.261,2.261,2.261,NPgN
BARDEN FRIAR,0.000,0.007,0.015,0.015,0.017,0.022,0.024,0.027,0.031,0.036,0.041,0.053,0.060,0.076,0.090,0.103,0.132,0.154,0.177,0.208,0.238,0.283,0.304,0.317,0.333,0.338,0.347,0.352,0.352,0.352,0.352,0.352,0.352,0.352,NPgN
BEDALE,0.003,0.064,0.126,0.126,0.149,0.203,0.218,0.242,0.285,0.331,0.369,0.506,0.596,0.812,0.997,1.166,1.546,1.833,2.123,2.524,2.903,3.491,3.760,3.916,4.132,4.195,4.314,4.373,4.373,4.375,4.375,4.375,4.376,4.376,NPgN
BELMONT,0.003,0.034,0.070,0.070,0.082,0.131,0.147,0.161,0.194,0.226,0.249,0.375,0.469,0.686,0.887,1.058,1.440,1.735,2.024,2.425,2.799,3.393,3.660,3.811,4.051,4.115,4.235,4.296,4.296,4.297,4.297,4.297,4.298,4.298,NPgN
BENSHAM,0.002,0.019,0.039,0.039,0.045,0.080,0.091,0.098,0.119,0.138,0.151,0.241,0.310,0.471,0.622,0.749,1.033,1.251,1.465,1.762,2.037,2.479,2.676,2.786,2.964,3.011,3.101,3.146,3.146,3.146,3.146,3.147,3.147,3.147,NPgN
BENTON SQUARE,0.003,0.032,0.064,0.064,0.075,0.124,0.137,0.149,0.180,0.208,0.228,0.352,0.444,0.663,0.863,1.035,1.419,1.713,2.003,2.406,2.780,3.377,3.644,3.794,4.030,4.094,4.215,4.276,4.276,4.277,4.277,4.277,4.277,4.277,NPgN
BENWELL,0.003,0.032,0.068,0.068,0.080,0.127,0.145,0.159,0.190,0.223,0.246,0.370,0.461,0.672,0.870,1.037,1.408,1.696,1.978,2.369,2.734,3.312,3.572,3.719,3.956,4.018,4.136,4.194,4.194,4.196,4.196,4.196,4.196,4.196,NPgN
