Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,0.004,0.015,0.029,0.029,0.030,0.083,0.088,0.088,0.088,0.100,0.120,0.143,0.170,0.207,0.255,0.315,0.375,0.440,0.496,0.531,0.563,0.593,0.623,0.654,0.684,0.713,0.738,0.757,0.777,0.797,0.821,0.844,0.867,0.892,NPgN
AMBERTON ROAD,0.003,0.024,0.049,0.049,0.051,0.098,0.102,0.102,0.102,0.115,0.137,0.162,0.190,0.230,0.280,0.341,0.402,0.467,0.522,0.557,0.589,0.618,0.648,0.678,0.708,0.736,0.760,0.779,0.799,0.818,0.843,0.866,0.889,0.913,NPgN
ANNFIELD 66/20KV,0.004,0.030,0.059,0.059,0.061,0.116,0.121,0.121,0.121,0.137,0.163,0.191,0.222,0.265,0.320,0.391,0.461,0.536,0.600,0.641,0.678,0.712,0.747,0.782,0.816,0.849,0.876,0.898,0.920,0.943,0.964,0.989,1.016,1.044,NPgN
ASHINGTON,0.006,0.027,0.051,0.051,0.053,0.135,0.141,0.141,0.141,0.161,0.193,0.230,0.272,0.331,0.407,0.502,0.596,0.697,0.785,0.840,0.891,0.937,0.984,1.033,1.080,1.124,1.163,1.193,1.225,1.256,1.294,1.330,1.367,1.406,NPgN
AYCLIFFE FORREST,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NPgN
AYCLIFFE INDUSTRIAL,0.002,0.010,0.020,0.020,0.021,0.042,0.044,0.044,0.044,0.050,0.059,0.070,0.082,0.098,0.119,0.146,0.172,0.200,0.225,0.240,0.254,0.267,0.280,0.293,0.306,0.318,0.328,0.337,0.345,0.354,0.363,0.373,0.383,0.393,NPgN
BARDEN FRIAR,0.000,0.004,0.007,0.007,0.008,0.010,0.011,0.011,0.011,0.012,0.014,0.016,0.018,0.020,0.024,0.028,0.033,0.038,0.042,0.044,0.047,0.049,0.051,0.053,0.055,0.057,0.058,0.060,0.061,0.063,0.063,0.064,0.066,0.067,NPgN
BEDALE,0.003,0.032,0.063,0.063,0.065,0.103,0.107,0.107,0.107,0.120,0.142,0.163,0.186,0.215,0.255,0.309,0.362,0.418,0.466,0.496,0.524,0.549,0.575,0.601,0.627,0.651,0.669,0.685,0.702,0.718,0.725,0.742,0.761,0.781,NPgN
BELMONT,0.003,0.019,0.038,0.038,0.039,0.079,0.083,0.083,0.083,0.094,0.111,0.132,0.155,0.188,0.229,0.280,0.331,0.384,0.431,0.460,0.487,0.511,0.536,0.561,0.586,0.609,0.629,0.645,0.662,0.678,0.699,0.717,0.736,0.757,NPgN
BENSHAM,0.002,0.011,0.022,0.022,0.023,0.053,0.055,0.055,0.055,0.063,0.075,0.090,0.106,0.129,0.159,0.195,0.231,0.270,0.303,0.324,0.344,0.361,0.379,0.397,0.415,0.432,0.447,0.459,0.470,0.482,0.498,0.512,0.526,0.540,NPgN
