Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,105,114,138,166,239,327,411,497,580,1005,1458,1907,2353,2799,3336,3877,4416,4955,5493,5947,6420,6893,7365,7846,8292,8725,9196,9649,10121,10310,10500,10689,10878,11067,NPgN
AMBERTON ROAD,106,115,145,177,259,347,437,524,620,1081,1520,1964,2415,2872,3429,3995,4551,5114,5670,6147,6632,7118,7604,8098,8613,9098,9628,10120,10649,10849,11050,11250,11450,11651,NPgN
ANNFIELD 66/20KV,99,107,137,170,248,330,411,493,572,961,1320,1674,2025,2374,2801,3222,3656,4080,4512,4869,5245,5619,5993,6371,6756,7131,7490,7846,8203,8361,8520,8678,8837,8996,NPgN
ASHINGTON,107,115,149,185,275,366,461,552,649,1118,1558,1999,2442,2887,3426,3962,4502,5036,5574,6025,6492,6957,7422,7896,8378,8841,9308,9761,10227,10422,10616,10811,11005,11200,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,37,40,49,61,90,121,156,187,226,406,574,747,924,1107,1328,1556,1775,1999,2219,2409,2600,2792,2984,3179,3390,3585,3815,4020,4250,4329,4407,4485,4564,4642,NPgN
BARDEN FRIAR,12,13,20,27,40,49,55,64,69,108,153,196,237,275,320,360,404,445,489,522,547,571,596,611,599,609,608,621,621,630,640,649,659,669,NPgN
BEDALE,62,66,91,116,170,218,265,314,358,596,824,1053,1282,1511,1791,2069,2349,2628,2907,3141,3364,3588,3812,4026,4222,4431,4619,4819,5007,5100,5193,5286,5379,5472,NPgN
BELMONT,74,79,101,124,182,240,300,358,418,710,991,1270,1548,1824,2160,2495,2834,3169,3508,3792,4084,4377,4669,4966,5259,5542,5809,6078,6343,6465,6587,6710,6832,6954,NPgN
BENSHAM,46,50,62,76,110,145,182,217,256,480,790,1103,1415,1723,2083,2449,2797,3160,3509,3817,4109,4400,4692,4991,5191,5397,5587,5809,6001,6105,6209,6313,6417,6521,NPgN
BENTON SQUARE,61,66,84,104,156,210,273,328,400,746,1097,1461,1835,2219,2681,3156,3607,4074,4525,4921,5308,5695,6082,6478,6873,7242,7673,8066,8498,8649,8800,8951,9102,9253,NPgN
BENWELL,94,101,119,142,199,268,333,400,464,795,1164,1528,1889,2247,2678,3113,3546,3979,4411,4778,5158,5537,5916,6301,6644,6981,7344,7701,8065,8221,8377,8533,8689,8845,NPgN
BILLINGHAM MARSH HOUSE,76,83,103,125,183,252,321,388,460,814,1165,1519,1880,2248,2695,3154,3599,4052,4498,4879,5270,5661,6051,6449,6857,7240,7687,8091,8538,8693,8848,9004,9159,9314,NPgN
