Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,27644,28074,27716,27716,27734,27769,27953,28077,28116,28240,28231,28295,28272,28316,28429,28424,28638,28706,28920,28988,29129,29197,29338,29406,29624,29842,30060,30277,30495,30641,30934,31153,31226,31299,NPgN
AMBERTON ROAD,76731,77924,76932,76931,76981,77079,77588,77933,78043,78386,78361,78540,78474,78598,78912,78897,79492,79680,80274,80463,80854,81043,81434,81622,82227,82832,83437,84041,84646,85052,85863,86472,86674,86876,NPgN
ANNFIELD 66/20KV,58767,59681,58921,58920,58958,59034,59424,59688,59772,60035,60016,60153,60102,60197,60437,60426,60881,61026,61481,61625,61925,62069,62369,62513,62976,63440,63903,64366,64829,65140,65761,66227,66382,66537,NPgN
ASHINGTON,46494,47217,46616,46616,46646,46705,47014,47223,47289,47497,47482,47590,47550,47626,47816,47807,48167,48281,48641,48756,48993,49107,49344,49458,49825,50191,50558,50924,51290,51536,52028,52397,52519,52642,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,32885,33396,32971,32970,32992,33034,33252,33400,33447,33594,33583,33660,33632,33685,33819,33813,34068,34148,34403,34484,34652,34732,34900,34981,35240,35499,35758,36018,36277,36451,36798,37059,37146,37233,NPgN
BARDEN FRIAR,1263,1282,1266,1266,1267,1268,1277,1282,1284,1290,1289,1292,1291,1293,1299,1298,1308,1311,1321,1324,1331,1334,1340,1343,1353,1363,1373,1383,1393,1400,1413,1423,1426,1430,NPgN
BEDALE,57226,58116,57376,57375,57413,57486,57866,58123,58205,58461,58442,58575,58526,58619,58853,58842,59285,59425,59869,60009,60302,60442,60734,60874,61325,61776,62227,62678,63129,63432,64037,64491,64642,64793,NPgN
BELMONT,84516,85830,84737,84736,84791,84899,85460,85840,85961,86339,86311,86508,86435,86572,86918,86901,87556,87763,88418,88626,89057,89265,89695,89903,90569,91235,91902,92568,93234,93680,94574,95244,95467,95690,NPgN
BENSHAM,45269,45973,45388,45387,45416,45475,45775,45978,46043,46246,46231,46336,46297,46371,46556,46547,46898,47009,47359,47471,47702,47813,48044,48155,48512,48868,49225,49582,49939,50178,50657,51016,51135,51255,NPgN
BENTON SQUARE,40306,40933,40412,40411,40438,40489,40757,40938,40996,41176,41163,41257,41222,41287,41452,41444,41756,41855,42168,42267,42472,42571,42777,42875,43193,43511,43829,44147,44464,44677,45103,45423,45529,45636,NPgN
BENWELL,54103,54944,54244,54244,54279,54348,54707,54950,55028,55270,55252,55378,55332,55419,55640,55630,56049,56182,56601,56734,57010,57143,57419,57551,57978,58404,58831,59257,59683,59969,60542,60971,61113,61256,NPgN
BILLINGHAM MARSH HOUSE,25242,25635,25308,25308,25324,25357,25524,25638,25674,25787,25778,25837,25815,25856,25959,25955,26150,26212,26408,26470,26599,26660,26789,26851,27050,27249,27448,27647,27846,27979,28246,28446,28513,28580,NPgN
BILLY MILL,51860,52666,51996,51995,52029,52095,52439,52672,52747,52979,52962,53083,53038,53122,53334,53324,53726,53853,54255,54382,54647,54774,55038,55165,55574,55983,56392,56801,57209,57484,58032,58443,58580,58717,NPgN
BIRTLEY GROVE 66/11KV,56333,57209,56481,56480,56517,56589,56963,57216,57297,57549,57530,57661,57613,57704,57934,57923,58360,58498,58935,59073,59361,59499,59786,59924,60368,60812,61257,61700,62144,62442,63038,63485,63633,63782,NPgN
BIRTLEY GROVE 66/20KV,31300,31787,31382,31382,31402,31442,31650,31791,31835,31975,31965,32038,32011,32062,32190,32184,32426,32503,32745,32822,32982,33059,33218,33295,33542,33789,34036,34282,34529,34694,35025,35273,35356,35439,NPgN
BLAYDON BURN,36735,37306,36831,36831,36855,36902,37145,37311,37363,37527,37515,37601,37569,37629,37779,37772,38057,38147,38431,38522,38709,38799,38986,39076,39366,39656,39945,40235,40524,40718,41107,41398,41495,41592,NPgN
BLUCHER 33/11KV,32022,32519,32105,32105,32126,32167,32379,32523,32569,32712,32702,32776,32749,32801,32932,32925,33174,33252,33500,33579,33742,33821,33984,34063,34315,34568,34820,35072,35325,35494,35833,36086,36171,36255,NPgN
BOLDON DOWNHILL,24361,24739,24424,24424,24440,24471,24633,24742,24777,24886,24878,24935,24914,24953,25053,25048,25237,25297,25485,25545,25670,25729,25854,25913,26105,26297,26489,26681,26873,27002,27260,27453,27517,27581,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,54586,55435,54729,54728,54764,54834,55196,55441,55519,55764,55746,55873,55826,55914,56137,56127,56550,56684,57107,57241,57519,57653,57932,58065,58496,58926,59356,59787,60217,60505,61083,61515,61659,61803,NPgN
BOWESFIELD 33/11KV,38241,38836,38342,38341,38366,38415,38669,38841,38895,39066,39054,39143,39110,39172,39328,39321,39617,39711,40007,40101,40296,40390,40585,40679,40980,41282,41583,41885,42186,42388,42793,43096,43197,43298,NPgN
