Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,88,150,293,613,903,1266,1655,2028,2906,3616,4235,4943,5618,6236,6796,7254,7761,8206,8597,8915,9952,11237,12159,12812,13850,14285,14983,15020,15090,15119,15101,15202,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
AMBERTON ROAD,134,194,330,632,910,1260,1669,2048,2721,3368,3919,4607,5167,5754,6286,6676,7175,7615,8004,8299,9283,10372,11181,11753,12738,13156,13826,13866,13933,13957,13934,14016,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
ANNFIELD 66/20KV,100,150,239,498,734,1031,1525,1872,2567,3174,3823,4505,5075,5651,6173,6602,7107,7557,7945,8289,9274,10335,11176,11784,12772,13248,13995,14031,14101,14124,14094,14186,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
ASHINGTON,106,171,313,620,900,1251,1685,2069,2853,3530,4226,4971,5602,6234,6807,7276,7819,8298,8723,9091,10165,11343,12269,12932,14016,14498,15215,15264,15343,15375,15354,15449,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
AYCLIFFE INDUSTRIAL,39,65,138,271,392,544,685,841,1141,1410,1640,1932,2208,2465,2698,2880,3097,3287,3456,3589,4022,4528,4883,5132,5567,5737,5984,5997,6022,6031,6022,6053,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
BARDEN FRIAR,4,5,7,73,119,173,125,153,136,168,155,175,176,193,210,211,228,244,258,255,275,291,302,310,326,333,347,352,357,360,361,363,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
BEDALE,89,118,159,361,523,723,806,989,1186,1468,1623,1885,2104,2336,2552,2700,2904,3088,3248,3352,3732,4189,4502,4729,5106,5282,5590,5629,5676,5700,5696,5736,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
BELMONT,79,118,186,361,520,722,985,1208,1741,2162,2565,2995,3419,3796,4141,4438,4758,5041,5287,5505,6146,6942,7518,7935,8579,8881,9363,9398,9452,9475,9461,9526,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
BENSHAM,56,84,150,284,403,552,793,974,1382,1706,2060,2435,2764,3083,3372,3611,3890,4136,4350,4542,5084,5657,6119,6447,6994,7246,7639,7657,7692,7704,7687,7735,NPgN,Primary,NG FES - Leading the Way,Number of heat pumps (domestic and I&C)
