Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.046,0.047,0.048,0.049,0.051,0.053,0.056,0.058,0.062,0.063,0.065,0.068,0.069,0.074,0.078,0.081,0.086,0.092,0.098,0.101,0.104,0.108,0.109,0.11,0.111,0.111,0.111,0.111,0.111,0.111,0.111,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
AMBERTON ROAD,0.086,0.093,0.096,0.098,0.101,0.105,0.109,0.116,0.121,0.128,0.131,0.136,0.141,0.145,0.154,0.162,0.17,0.181,0.192,0.206,0.214,0.22,0.229,0.23,0.233,0.234,0.234,0.235,0.235,0.235,0.235,0.235,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.104,0.112,0.116,0.118,0.121,0.125,0.13,0.137,0.143,0.151,0.154,0.159,0.163,0.167,0.177,0.186,0.194,0.206,0.218,0.233,0.241,0.248,0.255,0.257,0.26,0.261,0.261,0.261,0.261,0.261,0.262,0.262,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
ASHINGTON,0.083,0.089,0.092,0.093,0.097,0.099,0.104,0.11,0.115,0.121,0.124,0.129,0.133,0.137,0.145,0.153,0.16,0.17,0.181,0.194,0.201,0.206,0.215,0.216,0.219,0.22,0.22,0.22,0.22,0.22,0.22,0.22,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.034,0.037,0.038,0.039,0.04,0.041,0.043,0.045,0.047,0.05,0.051,0.052,0.054,0.056,0.059,0.062,0.065,0.069,0.073,0.078,0.081,0.083,0.086,0.086,0.087,0.088,0.088,0.088,0.088,0.088,0.088,0.088,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
BARDEN FRIAR,0.019,0.021,0.022,0.022,0.023,0.023,0.024,0.026,0.027,0.028,0.028,0.029,0.03,0.031,0.032,0.034,0.035,0.037,0.04,0.042,0.044,0.045,0.046,0.046,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
BEDALE,0.147,0.159,0.164,0.168,0.171,0.176,0.182,0.192,0.2,0.211,0.214,0.221,0.226,0.231,0.244,0.254,0.265,0.281,0.297,0.317,0.327,0.336,0.342,0.345,0.348,0.35,0.35,0.35,0.35,0.351,0.351,0.351,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
BELMONT,0.066,0.071,0.074,0.075,0.078,0.08,0.083,0.088,0.092,0.098,0.1,0.104,0.108,0.11,0.117,0.124,0.13,0.138,0.146,0.157,0.163,0.167,0.174,0.175,0.177,0.178,0.178,0.178,0.178,0.178,0.178,0.178,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
BENSHAM,0.034,0.037,0.038,0.039,0.04,0.041,0.043,0.046,0.048,0.051,0.052,0.054,0.056,0.057,0.061,0.064,0.068,0.072,0.077,0.082,0.085,0.087,0.091,0.092,0.093,0.094,0.094,0.094,0.094,0.094,0.094,0.094,NPgN,Primary,NG FES - System Transformation,Total installed storage capacity (MW)
