Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.8,1.85,1.916,2,2.122,2.266,2.429,2.695,2.964,3.286,3.617,3.955,4.305,4.664,5.021,5.382,5.749,6.072,6.388,6.718,7.05,7.394,7.729,8.054,8.37,8.637,8.906,9.165,9.413,9.649,9.887,10.127,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
AMBERTON ROAD,1.69,1.732,1.789,1.862,2,2.159,2.335,2.598,2.862,3.18,3.512,3.859,4.23,4.617,4.995,5.377,5.767,6.082,6.372,6.693,7.016,7.361,7.701,8.033,8.357,8.64,8.925,9.201,9.467,9.724,9.983,10.243,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,12.479,12.529,12.597,12.685,12.831,13.002,13.193,13.49,13.791,14.154,14.532,14.926,15.342,15.772,16.196,16.625,17.062,17.431,17.781,18.157,18.536,18.935,19.326,19.707,20.078,20.401,20.725,21.039,21.341,21.632,21.926,22.221,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
ASHINGTON,5.792,5.867,5.97,6.102,6.309,6.551,6.826,7.261,7.708,8.252,8.825,9.425,10.057,10.711,11.359,12.015,12.682,13.261,13.821,14.413,15.01,15.63,16.24,16.835,17.416,17.924,18.436,18.931,19.411,19.874,20.34,20.81,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,0.912,0.932,0.961,0.997,1.055,1.124,1.201,1.322,1.444,1.592,1.745,1.905,2.073,2.246,2.417,2.591,2.767,2.917,3.061,3.215,3.369,3.531,3.69,3.845,3.995,4.125,4.257,4.383,4.505,4.623,4.741,4.86,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.059,0.062,0.065,0.069,0.08,0.092,0.106,0.123,0.142,0.164,0.188,0.214,0.243,0.273,0.303,0.333,0.363,0.386,0.406,0.429,0.452,0.478,0.503,0.529,0.554,0.577,0.599,0.622,0.644,0.666,0.687,0.709,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BEDALE,2.717,2.752,2.801,2.862,2.984,3.125,3.28,3.508,3.739,4.019,4.316,4.629,4.969,5.323,5.669,6.019,6.377,6.663,6.926,7.219,7.513,7.828,8.14,8.446,8.745,9.01,9.277,9.537,9.789,10.034,10.28,10.527,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BELMONT,1.356,1.392,1.442,1.505,1.619,1.752,1.899,2.122,2.347,2.619,2.904,3.202,3.52,3.85,4.174,4.502,4.837,5.111,5.368,5.648,5.931,6.23,6.525,6.813,7.094,7.34,7.587,7.827,8.059,8.282,8.508,8.734,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BENSHAM,0.374,0.4,0.437,0.485,0.561,0.65,0.75,0.907,1.066,1.256,1.453,1.656,1.869,2.089,2.306,2.526,2.75,2.94,3.121,3.315,3.511,3.715,3.916,4.111,4.3,4.463,4.627,4.785,4.937,5.082,5.229,5.377,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BENTON SQUARE,1.654,1.69,1.741,1.806,1.903,2.018,2.147,2.356,2.566,2.818,3.078,3.345,3.622,3.907,4.19,4.476,4.767,5.019,5.265,5.522,5.783,6.052,6.316,6.573,6.821,7.033,7.247,7.452,7.649,7.837,8.026,8.217,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BENWELL,0.995,1.029,1.077,1.139,1.235,1.347,1.474,1.675,1.877,2.12,2.371,2.629,2.9,3.177,3.452,3.731,4.014,4.257,4.49,4.738,4.988,5.248,5.503,5.751,5.992,6.198,6.405,6.605,6.796,6.98,7.165,7.351,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,13.06,13.101,13.158,13.23,13.33,13.449,13.584,13.809,14.036,14.309,14.589,14.874,15.167,15.466,15.766,16.069,16.376,16.651,16.924,17.205,17.489,17.78,18.064,18.339,18.606,18.831,19.057,19.275,19.482,19.681,19.88,20.081,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BILLY MILL,1.489,1.521,1.565,1.622,1.705,1.802,1.913,2.093,2.275,2.493,2.717,2.946,3.184,3.427,3.67,3.915,4.164,4.383,4.596,4.819,5.044,5.276,5.503,5.724,5.938,6.119,6.302,6.477,6.646,6.806,6.968,7.131,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.049,1.074,1.108,1.151,1.218,1.297,1.385,1.527,1.67,1.842,2.021,2.205,2.397,2.595,2.792,2.99,3.192,3.367,3.535,3.713,3.893,4.08,4.263,4.441,4.614,4.762,4.912,5.056,5.194,5.327,5.461,5.596,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,0.471,0.485,0.505,0.531,0.575,0.626,0.683,0.771,0.86,0.967,1.078,1.193,1.315,1.441,1.566,1.692,1.82,1.926,2.027,2.136,2.246,2.362,2.475,2.586,2.694,2.788,2.882,2.973,3.061,3.145,3.23,3.315,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BLAYDON BURN,1,1.032,1.076,1.132,1.233,1.349,1.479,1.675,1.873,2.111,2.359,2.616,2.89,3.174,3.452,3.734,4.022,4.258,4.478,4.718,4.961,5.218,5.471,5.717,5.957,6.166,6.376,6.579,6.774,6.963,7.152,7.343,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BLUCHER 33/11KV,1.175,1.209,1.256,1.316,1.402,1.504,1.619,1.808,1.999,2.229,2.464,2.704,2.952,3.206,3.459,3.715,3.975,4.205,4.431,4.666,4.903,5.147,5.385,5.616,5.84,6.03,6.221,6.404,6.58,6.747,6.916,7.086,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BOLDON DOWNHILL,1.755,1.781,1.818,1.866,1.934,2.015,2.107,2.257,2.408,2.59,2.776,2.967,3.164,3.366,3.567,3.771,3.977,4.159,4.338,4.523,4.711,4.905,5.094,5.277,5.455,5.605,5.757,5.903,6.042,6.176,6.31,6.445,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.841,0.853,0.868,0.887,0.923,0.965,1.011,1.08,1.151,1.236,1.326,1.42,1.52,1.625,1.728,1.832,1.938,2.025,2.106,2.195,2.284,2.379,2.473,2.564,2.654,2.732,2.811,2.888,2.963,3.034,3.107,3.18,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BOWESFIELD 33/11KV,0.63,0.658,0.695,0.743,0.842,0.956,1.08,1.261,1.442,1.66,1.89,2.13,2.392,2.665,2.931,3.2,3.474,3.689,3.882,4.101,4.321,4.559,4.795,5.025,5.25,5.449,5.649,5.843,6.031,6.213,6.396,6.58,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BOWESFIELD 66/11KV,0.796,0.816,0.843,0.878,0.942,1.017,1.099,1.223,1.347,1.497,1.653,1.816,1.99,2.171,2.349,2.528,2.711,2.859,2.997,3.148,3.3,3.463,3.623,3.779,3.931,4.064,4.197,4.327,4.452,4.572,4.693,4.815,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BRANCEPETH,15.286,15.343,15.421,15.521,15.687,15.881,16.098,16.436,16.777,17.189,17.619,18.066,18.539,19.028,19.511,19.999,20.495,20.914,21.312,21.739,22.17,22.622,23.067,23.5,23.922,24.289,24.657,25.014,25.358,25.689,26.023,26.358,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BREAMISH STREET,0.301,0.315,0.334,0.358,0.405,0.458,0.517,0.605,0.693,0.799,0.91,1.025,1.149,1.279,1.405,1.532,1.663,1.767,1.863,1.97,2.077,2.192,2.305,2.415,2.523,2.617,2.712,2.804,2.893,2.978,3.065,3.151,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
BRENDA TRADING,1.868,1.917,1.983,2.068,2.217,2.39,2.582,2.877,3.173,3.529,3.9,4.285,4.693,5.117,5.533,5.953,6.382,6.737,7.069,7.431,7.795,8.18,8.559,8.928,9.288,9.6,9.913,10.217,10.509,10.79,11.073,11.358,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CAMPLESHON ROAD,1.806,1.842,1.891,1.954,2.055,2.174,2.308,2.518,2.729,2.984,3.247,3.519,3.806,4.101,4.393,4.688,4.988,5.244,5.487,5.748,6.01,6.285,6.554,6.816,7.071,7.29,7.511,7.724,7.929,8.126,8.324,8.523,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CARLEY HILL,1.361,1.402,1.459,1.531,1.652,1.793,1.951,2.195,2.442,2.738,3.045,3.362,3.697,4.042,4.383,4.728,5.079,5.373,5.653,5.953,6.256,6.574,6.887,7.191,7.487,7.741,7.998,8.245,8.484,8.712,8.942,9.174,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CARLIN HOW T3 T4,2.844,2.889,2.952,3.031,3.175,3.343,3.528,3.809,4.091,4.432,4.787,5.158,5.553,5.964,6.366,6.774,7.189,7.529,7.845,8.192,8.541,8.912,9.277,9.633,9.98,10.283,10.588,10.883,11.168,11.442,11.718,11.996,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CARR HILL,1.673,1.723,1.791,1.878,2.011,2.166,2.343,2.624,2.909,3.251,3.603,3.964,4.342,4.729,5.114,5.503,5.898,6.24,6.571,6.921,7.273,7.639,7.997,8.345,8.682,8.97,9.261,9.54,9.808,10.064,10.323,10.583,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CATTERICK CAMP,1.803,1.86,1.937,2.035,2.201,2.394,2.611,2.948,3.294,3.717,4.165,4.639,5.142,5.665,6.182,6.705,7.236,7.69,8.123,8.586,9.053,9.542,10.024,10.496,10.957,11.364,11.774,12.172,12.559,12.933,13.31,13.69,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CLOSE,0.392,0.405,0.422,0.443,0.512,0.589,0.671,0.776,0.88,1.005,1.141,1.288,1.455,1.633,1.801,1.972,2.148,2.267,2.364,2.486,2.608,2.748,2.889,3.027,3.164,3.29,3.416,3.54,3.661,3.78,3.899,4.019,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CONEYTHORPE,1.437,1.464,1.5,1.545,1.626,1.72,1.824,1.984,2.146,2.341,2.547,2.762,2.992,3.23,3.464,3.7,3.942,4.142,4.332,4.536,4.743,4.961,5.176,5.385,5.59,5.769,5.949,6.124,6.293,6.456,6.62,6.785,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CONSETT,22.764,22.822,22.901,23.003,23.176,23.377,23.603,23.951,24.303,24.728,25.172,25.635,26.126,26.634,27.135,27.641,28.157,28.59,28.999,29.44,29.885,30.353,30.814,31.263,31.7,32.081,32.464,32.835,33.194,33.539,33.886,34.236,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CORPORATION STREET,0.103,0.114,0.128,0.147,0.182,0.223,0.268,0.335,0.403,0.484,0.569,0.657,0.752,0.851,0.948,1.045,1.145,1.225,1.299,1.38,1.462,1.55,1.637,1.721,1.804,1.876,1.949,2.019,2.087,2.153,2.219,2.285,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
COWTON,0.375,0.38,0.386,0.395,0.412,0.433,0.455,0.487,0.52,0.56,0.602,0.646,0.695,0.746,0.796,0.846,0.898,0.938,0.974,1.015,1.056,1.101,1.145,1.189,1.231,1.269,1.308,1.345,1.381,1.416,1.452,1.487,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CRAMLINGTON T1 T3,0.63,0.649,0.676,0.709,0.764,0.828,0.901,1.014,1.13,1.27,1.419,1.575,1.74,1.912,2.081,2.252,2.426,2.575,2.718,2.87,3.023,3.184,3.342,3.496,3.647,3.779,3.912,4.041,4.166,4.287,4.408,4.531,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
CRAMLINGTON T2 T4,0.476,0.494,0.519,0.551,0.603,0.664,0.732,0.84,0.949,1.083,1.224,1.373,1.529,1.692,1.853,2.016,2.181,2.323,2.459,2.604,2.75,2.902,3.053,3.199,3.343,3.469,3.595,3.718,3.837,3.952,4.068,4.185,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DARLEY,0.463,0.474,0.489,0.507,0.548,0.594,0.645,0.718,0.791,0.88,0.974,1.074,1.183,1.298,1.409,1.522,1.637,1.726,1.806,1.898,1.989,2.089,2.188,2.284,2.379,2.464,2.549,2.632,2.713,2.791,2.87,2.949,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DARLINGTON 132/6KV,0.797,0.813,0.836,0.864,0.914,0.972,1.037,1.136,1.235,1.356,1.481,1.611,1.749,1.892,2.032,2.175,2.32,2.44,2.553,2.675,2.798,2.929,3.057,3.182,3.304,3.41,3.516,3.619,3.718,3.814,3.91,4.007,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DARLINGTON 33/11KV,1.068,1.098,1.138,1.189,1.297,1.422,1.558,1.754,1.951,2.188,2.438,2.701,2.988,3.288,3.578,3.873,4.174,4.408,4.618,4.857,5.097,5.357,5.615,5.867,6.113,6.331,6.551,6.764,6.971,7.172,7.374,7.576,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DARLINGTON CENTRAL 33/11KV,0.451,0.464,0.48,0.502,0.537,0.577,0.623,0.695,0.767,0.854,0.944,1.038,1.136,1.237,1.337,1.438,1.541,1.629,1.712,1.801,1.891,1.986,2.078,2.168,2.255,2.331,2.406,2.48,2.55,2.617,2.685,2.754,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DARLINGTON EAST,6.515,6.536,6.564,6.601,6.667,6.743,6.828,6.957,7.086,7.242,7.404,7.574,7.755,7.943,8.127,8.313,8.503,8.658,8.803,8.961,9.12,9.29,9.457,9.62,9.778,9.917,10.056,10.191,10.321,10.447,10.573,10.7,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DARLINGTON WEST,1.324,1.362,1.413,1.479,1.579,1.697,1.829,2.043,2.258,2.518,2.785,3.06,3.348,3.643,3.936,4.232,4.533,4.795,5.048,5.315,5.585,5.864,6.138,6.404,6.662,6.883,7.105,7.319,7.525,7.721,7.92,8.119,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DENWICK,2.507,2.567,2.647,2.749,2.964,3.212,3.485,3.876,4.275,4.759,5.278,5.83,6.433,7.066,7.68,8.303,8.939,9.441,9.896,10.408,10.924,11.48,12.032,12.573,13.104,13.58,14.059,14.526,14.982,15.425,15.87,16.319,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DUNSTON 66/11KV,0.467,0.485,0.511,0.543,0.605,0.678,0.757,0.875,0.994,1.136,1.285,1.441,1.609,1.783,1.954,2.126,2.302,2.443,2.571,2.715,2.859,3.014,3.166,3.315,3.461,3.588,3.716,3.841,3.961,4.077,4.193,4.311,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DUNSTON 66/20KV,1.116,1.152,1.202,1.267,1.37,1.49,1.625,1.838,2.053,2.31,2.577,2.851,3.14,3.437,3.731,4.029,4.331,4.588,4.835,5.097,5.362,5.639,5.91,6.174,6.43,6.651,6.872,7.086,7.291,7.488,7.687,7.886,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
DURHAM EAST,0.498,0.513,0.532,0.555,0.623,0.701,0.784,0.893,1.002,1.134,1.276,1.429,1.601,1.784,1.958,2.134,2.316,2.444,2.552,2.683,2.815,2.963,3.112,3.258,3.401,3.532,3.664,3.793,3.92,4.043,4.167,4.292,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
EASTFIELD,1.877,1.914,1.966,2.031,2.129,2.243,2.374,2.584,2.798,3.058,3.327,3.606,3.896,4.195,4.493,4.794,5.1,5.368,5.63,5.905,6.181,6.467,6.748,7.021,7.286,7.514,7.744,7.966,8.18,8.385,8.592,8.8,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
EASTGATE CEMENT,0.522,0.532,0.545,0.562,0.603,0.649,0.7,0.77,0.84,0.924,1.015,1.111,1.217,1.33,1.438,1.547,1.659,1.743,1.816,1.901,1.987,2.081,2.175,2.268,2.358,2.44,2.522,2.602,2.68,2.756,2.833,2.909,NPgN,Primary,NG FES - Leading the Way,Total installed renewable generation capacity (MW)
