Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.051,0.055,0.057,0.062,0.066,0.09,0.099,0.105,0.237,0.345,0.608,0.849,1.056,1.514,1.862,2.204,2.681,3.116,3.83,4.145,4.315,4.591,4.665,4.811,4.884,4.884,4.885,4.885,4.885,4.886,4.886,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
AMBERTON ROAD,0.086,0.106,0.113,0.119,0.128,0.137,0.164,0.183,0.197,0.32,0.416,0.646,0.857,1.038,1.439,1.746,2.048,2.467,2.853,3.478,3.756,3.909,4.156,4.222,4.349,4.413,4.413,4.414,4.414,4.415,4.415,4.416,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.104,0.127,0.136,0.143,0.152,0.162,0.194,0.214,0.23,0.377,0.492,0.769,1.02,1.238,1.722,2.089,2.452,2.957,3.421,4.173,4.508,4.691,4.981,5.06,5.213,5.29,5.29,5.291,5.292,5.292,5.293,5.293,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
ASHINGTON,0.083,0.1,0.107,0.112,0.121,0.129,0.169,0.186,0.199,0.406,0.573,0.979,1.351,1.67,2.379,2.917,3.447,4.184,4.857,5.96,6.447,6.711,7.14,7.255,7.48,7.593,7.593,7.594,7.595,7.595,7.596,7.597,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.034,0.042,0.044,0.047,0.05,0.053,0.065,0.072,0.078,0.137,0.184,0.298,0.401,0.491,0.69,0.84,0.989,1.196,1.386,1.695,1.832,1.906,2.026,2.059,2.122,2.153,2.153,2.154,2.154,2.154,2.154,2.154,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
BARDEN FRIAR,0.019,0.024,0.026,0.027,0.028,0.03,0.033,0.037,0.04,0.049,0.055,0.069,0.081,0.092,0.116,0.134,0.153,0.179,0.203,0.241,0.258,0.268,0.282,0.287,0.294,0.298,0.298,0.298,0.298,0.298,0.298,0.298,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
BEDALE,0.147,0.181,0.194,0.204,0.214,0.228,0.258,0.285,0.307,0.421,0.503,0.701,0.876,1.031,1.379,1.641,1.904,2.267,2.605,3.144,3.386,3.522,3.724,3.781,3.89,3.944,3.944,3.946,3.946,3.946,3.947,3.947,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
BELMONT,0.066,0.081,0.087,0.091,0.098,0.104,0.127,0.141,0.152,0.257,0.339,0.536,0.718,0.873,1.219,1.482,1.741,2.102,2.433,2.97,3.209,3.34,3.551,3.607,3.717,3.772,3.772,3.773,3.773,3.773,3.774,3.774,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
BENSHAM,0.034,0.042,0.045,0.047,0.051,0.054,0.069,0.077,0.082,0.158,0.219,0.367,0.503,0.62,0.878,1.075,1.268,1.537,1.783,2.186,2.364,2.46,2.618,2.66,2.742,2.783,2.783,2.783,2.784,2.784,2.784,2.784,NPgN,Primary,NG FES - Leading the Way,Total installed storage capacity (MW)
