Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,21688,21272.244,20856.555,20449.05,20049.531,19657.821,19273.757,18897.2,18527.996,18166.007,17811.091,17463.112,17411.531,17360.149,17308.972,17257.994,17207.224,17156.654,17106.305,17056.172,17006.253,16956.541,16907.037,16857.739,16808.645,16759.676,16710.963,16662.452,16614.143,16566.035,16518.128,16470.423,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
AMBERTON ROAD,76360.038,74884.102,73407.438,71959.894,70540.894,69149.875,67786.287,66449.588,65139.247,63854.746,62595.574,61361.232,61168.489,60976.352,60784.819,60593.887,60403.555,60213.82,60024.682,59836.138,59648.186,59460.824,59274.051,59087.865,58902.263,58717.244,58532.807,58348.949,58165.668,57982.963,57800.832,57619.274,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
ANNFIELD 66/20KV,53435.157,52410.237,51385.364,50380.717,49395.801,48430.206,47483.522,46555.428,45645.485,44753.378,43878.731,43021.2,42893.871,42767.035,42640.71,42514.875,42389.479,42264.557,42140.133,42016.227,41892.814,41769.883,41647.447,41525.509,41404.074,41283.261,41162.867,41042.978,40923.593,40804.713,40686.337,40568.466,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
ASHINGTON,35000.729,34522.482,34057.849,33602.786,33154.679,32712.901,32276.551,31846.88,31421.892,31002.602,30588.251,30178.801,30279.697,30382.582,30487.974,30595.379,30703.549,30813.373,30925.486,31040.453,31157.676,31276.869,31398.427,31522.439,31649.081,31781.357,31914.216,32049.82,32188.202,32329.394,32473.429,32620.338,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
AYCLIFFE FORREST,2347.616,2302.24,2256.841,2212.338,2168.712,2125.947,2084.025,2042.929,2002.644,1963.153,1924.441,1886.492,1880.567,1874.66,1868.771,1862.901,1857.05,1851.216,1845.401,1839.605,1833.826,1828.066,1822.324,1816.6,1810.894,1805.206,1799.535,1793.883,1788.248,1782.631,1777.031,1771.449,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
AYCLIFFE INDUSTRIAL,30727.369,30133.45,29539.239,28956.745,28385.738,27825.991,27277.281,26739.392,26212.109,25695.224,25188.532,24691.831,24614.272,24536.955,24459.882,24383.051,24306.461,24230.112,24154.002,24078.132,24002.5,23927.105,23851.947,23777.026,23702.34,23627.888,23553.67,23479.685,23405.933,23332.412,23259.123,23186.063,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BARDEN FRIAR,3570.868,3533.162,3497.434,3462.27,3427.563,3393.289,3359.437,3325.39,3291.574,3257.881,3224.141,3190.812,3211.261,3232.058,3253.483,3275.156,3297.318,3319.95,3343.258,3367.336,3391.82,3416.765,3442.09,3467.82,3493.924,3519.545,3546.168,3573.169,3600.552,3628.322,3656.484,3685.042,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BEDALE,66424.627,65619.285,64848.106,64092.221,63346.242,62605.242,61869.2,61139.162,60414.021,59699.858,58988.422,58286.946,58568.421,58856.617,59151.557,59453.227,59755.966,60064.23,60381.05,60704.746,61033.815,61368.007,61708.087,62054.72,62407.312,62762.605,63125.867,63495.11,63870.401,64251.811,64639.411,65033.272,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BELMONT,77861.173,76356.222,74850.529,73374.528,71927.632,70509.268,69118.874,67755.897,66419.797,65110.044,63826.118,62567.511,62370.979,62175.065,61979.766,61785.081,61591.007,61397.543,61204.686,61012.435,60820.788,60629.743,60439.299,60249.452,60060.202,59871.546,59683.483,59496.01,59309.127,59122.83,58937.119,58751.991,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BENSHAM,43973.663,43123.712,42273.341,41439.74,40622.577,39821.527,39036.274,38266.505,37511.916,36772.206,36047.084,35336.26,35225.265,35114.618,35004.319,34894.367,34784.76,34675.497,34566.577,34458,34349.763,34241.867,34134.309,34027.09,33920.207,33813.66,33707.447,33601.568,33496.022,33390.807,33285.923,33181.368,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BENTON SQUARE,37368.142,36875.153,36398.614,35931.944,35472.631,35019.065,34570.84,34129.543,33693.531,33263.391,32838.799,32419.66,32549.424,32681.767,32816.382,32954.278,33094.186,33237.101,33383.32,33533.533,33687.134,33843.862,34003.698,34166.698,34332.82,34507.841,34683.255,34862.507,35045.644,35232.715,35423.767,35618.851,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BENWELL,46305.549,45614.339,44930.229,44257.729,43599.469,42955.147,42325.652,41709.348,41105.767,40509.931,39923.085,39345.406,39434.606,39522.284,39608.047,39694.258,39783.698,39874.457,39963.79,40050.731,40140.239,40234.157,40332.195,40433.621,40538.216,40633.533,40739.371,40847.757,40958.716,41072.277,41188.467,41307.314,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BILLINGHAM MARSH HOUSE,22590.833,22308.113,22035.974,21768.599,21504.273,21242.141,20981.695,20723.388,20467.01,20212.787,19960.699,19710.83,19793.931,19878.41,19964.591,20052.199,20141.628,20232.561,20325.958,20421.649,20519.533,20619.36,20721.13,20824.861,20930.401,21034.334,21142.495,21252.466,21364.267,21477.919,21593.442,21710.858,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BILLY MILL,47719.626,47090.073,46481.526,45885.582,45299.034,44719.823,44147.434,43583.892,43027.098,42477.804,41935.594,41400.348,41566.058,41735.062,41906.967,42083.063,42261.726,42444.231,42630.954,42822.779,43018.929,43219.074,43423.186,43631.339,43843.479,44066.983,44290.99,44519.897,44753.766,44992.657,45236.634,45485.758,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BIRTLEY GROVE 66/11KV,46453.707,45560.388,44666.989,43791.195,42932.616,42090.884,41265.67,40456.655,39663.522,38885.957,38123.652,37376.302,37263.351,37150.812,37038.683,36926.95,36815.617,36704.688,36594.165,36484.053,36374.348,36265.052,36156.163,36047.68,35939.6,35831.816,35724.498,35617.577,35511.05,35404.918,35299.181,35193.836,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BIRTLEY GROVE 66/20KV,29162.041,28598.378,28034.437,27481.617,26939.699,26408.466,25887.709,25377.221,24876.8,24386.246,23905.366,23433.969,23360.36,23286.982,23213.835,23140.918,23068.23,22995.77,22923.538,22851.532,22779.753,22708.199,22636.87,22565.766,22494.884,22424.225,22353.788,22283.572,22213.577,22143.802,22074.246,22004.908,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BLAYDON BURN,45816.476,44931.458,44046.024,43178.045,42327.185,41493.106,40675.48,39873.979,39088.285,38318.072,37563.041,36822.891,36707.803,36593.074,36478.7,36364.687,36251.042,36137.758,36024.827,35912.245,35800.024,35688.169,35576.677,35465.545,35354.771,35244.322,35134.248,35024.528,34915.161,34806.145,34697.48,34589.164,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BLUCHER 33/11KV,24434.089,24069.357,23708.372,23353.514,23006.169,22666.179,22334.013,22008.807,21690.315,21375.91,21066.248,20761.424,20808.493,20854.757,20900.012,20945.503,20992.698,21040.589,21087.727,21133.604,21180.834,21230.392,21282.124,21335.643,21390.835,21441.131,21496.979,21554.171,21612.721,21672.644,21733.954,21796.666,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BOLDON DOWNHILL,19579.504,19206.626,18834.004,18468.714,18110.561,17759.367,17415.002,17077.338,16746.245,16421.593,16103.253,15791.098,15746.923,15702.956,15659.196,15615.626,15572.254,15529.083,15486.118,15443.366,15400.824,15358.493,15316.372,15274.462,15232.76,15191.135,15149.797,15108.66,15067.726,15026.992,14986.461,14946.132,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,43015.052,42570.344,42156.422,41751.013,41349.681,40945.866,40540.549,40136.211,39734.272,39335.272,38937.234,38541.288,38798.615,39062.857,39334.27,39610.903,39889.146,40174.304,40467.819,40770.169,41077.726,41390.064,41708.199,42032.218,42362.366,42686.709,43023.553,43365.601,43712.915,44065.56,44423.6,44787.099,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BOWESFIELD 33/11KV,37496.058,37026.803,36575.108,36131.322,35692.595,35257.512,34825.226,34396.49,33970.956,33548.999,33130.587,32715.856,32853.787,32994.003,33137.046,33282.458,33430.891,33581.819,33736.84,33895.667,34058.134,34223.825,34392.742,34564.914,34740.088,34912.595,35092.12,35274.649,35460.215,35648.853,35840.598,36035.484,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BOWESFIELD 66/11KV,49577.111,48956.664,48359.435,47772.664,47192.581,46617.316,46045.749,45478.876,44916.237,44358.328,43805.105,43256.75,43439.122,43624.516,43813.646,44005.908,44202.166,44401.723,44606.691,44816.691,45031.504,45250.58,45473.922,45701.567,45933.18,46161.268,46398.635,46639.974,46885.329,47134.745,47388.269,47645.946,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BRANCEPETH,24498.357,24024.837,23551.083,23086.672,22631.419,22185.143,21747.667,21318.818,20898.425,20486.322,20082.346,19686.336,19624.499,19562.856,19501.407,19440.151,19379.087,19318.215,19257.535,19197.045,19136.745,19076.634,19016.712,18956.979,18897.433,18838.074,18778.901,18719.914,18661.113,18602.497,18544.064,18485.815,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BREAMISH STREET,27572.829,27161.245,26753.888,26353.446,25961.482,25577.818,25202.982,24836.002,24476.597,24121.804,23772.364,23428.383,23481.498,23533.705,23584.773,23636.108,23689.366,23743.409,23796.602,23848.372,23901.669,23957.593,24015.971,24076.365,24138.646,24195.404,24258.425,24322.964,24389.035,24456.655,24525.841,24596.609,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
BRENDA TRADING,45421.404,44543.47,43665.103,42804.057,41959.99,41132.568,40321.462,39526.35,38746.918,37982.855,37233.859,36499.633,36384.983,36270.694,36156.763,36043.191,35929.975,35817.115,35704.61,35592.458,35480.658,35369.209,35258.11,35147.361,35036.959,34926.904,34817.195,34707.83,34598.809,34490.13,34381.793,34273.796,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
CAMPLESHON ROAD,33148.897,32525.521,31902.689,31292.013,30693.325,30106.251,29530.433,28965.639,28411.726,27868.546,27335.893,26813.534,26746.102,26679.156,26612.565,26546.359,26480.541,26415.219,26350.388,26286.111,26222.285,26158.907,26095.98,26033.529,25971.53,25910.858,25850.185,25790.05,25730.458,25671.411,25612.913,25554.968,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
CARLEY HILL,29587.612,29033.572,28480.668,27938.614,27407.038,26885.615,26374.163,25872.508,25380.466,24897.846,24424.455,23960.1,23902.235,23844.774,23787.713,23731.003,23674.663,23618.71,23563.16,23508.032,23453.32,23399.029,23345.154,23291.702,23238.663,23185.615,23133.237,23081.253,23029.664,22978.471,22927.676,22877.281,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
CARLIN HOW T3 T4,33059.536,32648.853,32251.949,31862.594,31477.817,31096.961,30718.22,30343.546,29972.53,29605.332,29241.077,28879.212,29004.716,29132.423,29262.844,29395.585,29530.817,29667.614,29807.38,29950.423,30095.98,30244.232,30395.193,30549.076,30705.437,30864.095,31026.02,31190.79,31358.439,31529,31702.507,31878.993,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
CARR HILL,27407.75,26877.995,26347.98,25828.415,25319.097,24819.821,24330.392,23850.613,23380.295,22919.252,22467.3,22024.26,21955.079,21886.116,21817.369,21748.838,21680.523,21612.422,21544.535,21476.861,21409.4,21342.15,21275.112,21208.285,21141.667,21075.259,21009.059,20943.067,20877.283,20811.705,20746.333,20681.166,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
CATTERICK CAMP,57078.896,56467.403,55887.49,55317.038,54753.993,54197.415,53647.192,53094.747,52546.059,52000.087,51453.749,50914.066,51232.68,51556.967,51890.872,52228.96,52574.12,52926.567,53289.493,53664.135,54045.092,54433.117,54827.157,55227.613,55634.022,56033.601,56448.367,56869.108,57295.893,57728.793,58167.878,58613.221,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
CLOSE,100607.442,99105.659,97619.301,96158.171,94727.978,93328.068,91960.372,90621.337,89309.945,88015.379,86740.348,85485.233,85679.037,85869.532,86055.868,86243.178,86437.504,86634.696,86828.787,87017.683,87212.155,87416.209,87629.217,87849.583,88076.834,88283.93,88513.883,88749.37,88990.45,89237.183,89489.627,89747.844,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
CONEYTHORPE,49870.294,49328.2,48819.609,48321.425,47828.79,47334.569,46839.798,46347.134,45858.071,45373.249,44890.417,44410.868,44684.069,44964.811,45253.369,45547.647,45843.691,46147.259,46459.94,46782.228,47110.203,47443.403,47782.931,48128.89,48481.533,48827.996,49188.017,49553.73,49925.203,50302.504,50685.705,51074.875,NPgN,Primary,NG FES - Leading the Way,I&C (MWh)
