Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0.2,0.172,0.172,0.172,0.173,0.174,0.175,0.176,0.178,0.179,0.181,0.183,0.185,0.187,0.188,0.19,0.191,0.193,0.194,0.196,0.197,0.198,0.2,0.201,0.202,0.203,0.204,0.205,0.205,0.206,0.207,0.208,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
AMBERTON ROAD,0.091,0.091,0.092,0.092,0.094,0.096,0.099,0.104,0.109,0.114,0.119,0.125,0.13,0.136,0.141,0.146,0.15,0.155,0.16,0.164,0.168,0.172,0.175,0.179,0.182,0.185,0.188,0.191,0.193,0.196,0.198,0.2,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
ANNFIELD 66/20KV,6.553,6.554,6.556,6.559,6.567,6.579,6.597,6.62,6.647,6.676,6.706,6.736,6.765,6.794,6.821,6.848,6.874,6.899,6.923,6.946,6.968,6.988,7.008,7.027,7.045,7.062,7.077,7.092,7.106,7.118,7.13,7.141,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
ASHINGTON,3.24,3.245,3.252,3.267,3.3,3.356,3.435,3.537,3.655,3.784,3.916,4.048,4.178,4.303,4.425,4.543,4.657,4.767,4.874,4.976,5.072,5.164,5.251,5.334,5.413,5.487,5.557,5.621,5.682,5.738,5.789,5.836,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
AYCLIFFE INDUSTRIAL,0,0.001,0.001,0.003,0.006,0.011,0.019,0.028,0.039,0.052,0.064,0.077,0.089,0.101,0.112,0.123,0.134,0.145,0.155,0.164,0.174,0.182,0.191,0.198,0.206,0.213,0.22,0.226,0.231,0.237,0.242,0.246,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
BARDEN FRIAR,0.001,0.001,0.001,0.002,0.003,0.005,0.008,0.012,0.016,0.021,0.025,0.03,0.035,0.039,0.044,0.048,0.052,0.056,0.06,0.064,0.067,0.071,0.074,0.077,0.08,0.082,0.085,0.087,0.089,0.091,0.093,0.095,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
BEDALE,0.092,0.094,0.096,0.101,0.111,0.128,0.152,0.183,0.219,0.259,0.299,0.339,0.379,0.417,0.454,0.49,0.525,0.559,0.591,0.622,0.652,0.68,0.707,0.732,0.756,0.779,0.8,0.82,0.838,0.855,0.871,0.885,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
BELMONT,0,0.001,0.002,0.004,0.01,0.019,0.032,0.049,0.068,0.089,0.11,0.132,0.153,0.174,0.194,0.213,0.232,0.25,0.267,0.284,0.3,0.315,0.329,0.342,0.355,0.367,0.379,0.389,0.399,0.408,0.417,0.425,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
BENSHAM,0,0,0,0.001,0.001,0.002,0.004,0.005,0.008,0.01,0.013,0.015,0.017,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.037,0.039,0.04,0.042,0.043,0.044,0.045,0.046,0.047,0.048,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
BENTON SQUARE,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.007,0.009,0.012,0.014,0.017,0.019,0.021,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.037,0.039,0.04,0.042,0.043,0.045,0.046,0.047,0.048,0.049,0.05,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
BENWELL,0,0,0,0,0.001,0.001,0.002,0.004,0.005,0.007,0.008,0.01,0.012,0.013,0.015,0.016,0.018,0.019,0.02,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.03,0.031,0.032,0.032,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
BILLINGHAM MARSH HOUSE,0.054,0.054,0.054,0.055,0.056,0.059,0.062,0.066,0.071,0.077,0.082,0.088,0.094,0.099,0.104,0.109,0.114,0.119,0.123,0.128,0.132,0.136,0.14,0.143,0.146,0.15,0.153,0.155,0.158,0.16,0.162,0.165,NPgN,Primary,NPg - Early Net Zero,Total installed wind capacity (MW)
