Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.3,17.115,17.129,17.099,17.129,17.221,17.348,17.462,17.655,17.964,18.285,18.617,19.023,19.542,20.099,20.738,21.429,22.245,23.148,24.136,25.215,26.326,27.433,28.501,29.542,30.465,31.098,31.531,31.831,32.191,32.484,32.773,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
AMBERTON ROAD,23.157,23.003,23.018,23.002,23.034,23.121,23.243,23.348,23.523,23.764,24.053,24.35,24.672,25.082,25.543,26.062,26.641,27.333,28.081,28.921,29.841,30.802,31.735,32.644,33.528,34.316,34.846,35.21,35.458,35.757,35.998,36.239,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
ANNFIELD 66/20KV,20.761,20.617,20.643,20.636,20.674,20.776,20.919,21.039,21.239,21.51,21.841,22.181,22.57,23.046,23.587,24.194,24.871,25.682,26.6,27.591,28.677,29.797,30.897,31.953,32.992,33.904,34.521,34.93,35.202,35.537,35.804,36.069,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
ASHINGTON,18.558,18.452,18.513,18.542,18.621,18.764,18.948,19.114,19.36,19.696,20.075,20.465,20.919,21.47,22.081,22.765,23.515,24.402,25.381,26.451,27.618,28.807,29.976,31.108,32.216,33.201,33.879,34.349,34.68,35.075,35.402,35.726,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
AYCLIFFE FORREST,0.421,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.42,0.42,0.42,0.417,0.415,0.413,0.411,0.409,0.407,0.405,0.403,0.401,0.4,0.398,0.396,0.394,0.392,0.39,0.388,0.386,0.384,0.382,0.38,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
AYCLIFFE INDUSTRIAL,13.949,13.866,13.866,13.855,13.857,13.869,13.884,13.898,13.925,13.979,14.023,14.067,14.07,14.102,14.129,14.168,14.208,14.257,14.283,14.342,14.407,14.491,14.572,14.661,14.734,14.808,14.846,14.881,14.903,14.928,14.947,14.964,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
BARDEN FRIAR,0.886,0.889,0.898,0.907,0.916,0.928,0.941,0.952,0.966,0.982,1,1.017,1.034,1.053,1.073,1.095,1.119,1.146,1.196,1.229,1.265,1.316,1.359,1.398,1.438,1.473,1.495,1.519,1.539,1.56,1.579,1.598,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
BEDALE,17.016,17.316,17.435,17.554,17.683,17.823,17.969,18.113,18.271,18.425,18.606,18.79,18.917,19.056,19.215,19.378,19.558,19.757,19.967,20.194,20.436,20.706,20.968,21.231,21.483,21.724,21.909,22.081,22.234,22.395,22.548,22.701,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
BELMONT,21.655,22.692,22.718,22.722,22.754,22.837,22.956,23.052,23.209,23.424,23.686,23.954,24.234,24.586,24.991,25.452,25.971,26.601,27.311,28.089,28.948,29.82,30.673,31.493,32.296,32.997,33.451,33.735,33.905,34.128,34.294,34.459,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
BENSHAM,18.236,19.182,19.197,19.196,19.215,19.27,19.353,19.417,19.526,19.685,19.869,20.058,20.249,20.497,20.78,21.111,21.484,21.942,22.464,23.037,23.672,24.306,24.933,25.534,26.121,26.629,26.947,27.129,27.225,27.363,27.457,27.551,NPgN,Primary,NG FES - Steady Progression,Total peak demand (MW)
