Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.3,16.959,16.589,16.452,16.218,16.139,16.121,16.224,17.274,17.884,18.738,19.537,20.875,22.061,23.34,24.747,25.905,26.808,27.532,28.168,29.026,30.04,30.663,31.087,31.522,31.599,31.717,31.426,31.092,30.719,30.212,29.72,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
AMBERTON ROAD,23.149,22.754,22.289,22.032,21.72,21.554,21.443,21.475,22.073,22.486,23.008,23.591,24.642,25.684,26.841,28.07,29.107,29.933,30.616,31.211,31.954,32.803,33.355,33.777,34.18,34.342,34.497,34.379,34.183,33.905,33.454,32.983,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
ANNFIELD 66/20KV,20.753,20.394,19.968,19.759,19.494,19.367,19.308,19.376,20.118,20.611,21.334,22.047,23.223,24.375,25.648,27.049,28.2,29.102,29.833,30.498,31.262,32.145,32.69,33.091,33.436,33.56,33.694,33.456,33.156,32.796,32.274,31.75,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
ASHINGTON,18.552,18.267,17.914,17.768,17.551,17.478,17.471,17.6,18.421,18.989,19.784,20.584,21.831,23.054,24.395,25.856,27.073,28.029,28.808,29.499,30.292,31.176,31.718,32.113,32.467,32.561,32.624,32.398,32.112,31.78,31.298,30.802,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
AYCLIFFE FORREST,0.421,0.413,0.405,0.397,0.389,0.382,0.374,0.367,0.36,0.353,0.346,0.339,0.338,0.337,0.336,0.335,0.334,0.333,0.332,0.331,0.33,0.329,0.328,0.327,0.326,0.325,0.324,0.323,0.322,0.321,0.32,0.319,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
AYCLIFFE INDUSTRIAL,13.945,13.698,13.426,13.217,12.969,12.759,12.547,12.374,12.479,12.446,12.44,12.415,12.652,12.825,12.998,13.195,13.34,13.457,13.551,13.651,13.868,14.193,14.425,14.589,14.776,14.832,14.865,14.832,14.794,14.741,14.665,14.597,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
BARDEN FRIAR,0.886,0.878,0.869,0.886,0.899,0.917,0.929,0.946,0.938,0.962,0.956,0.978,1.005,1.045,1.09,1.124,1.161,1.192,1.22,1.237,1.266,1.291,1.303,1.316,1.327,1.335,1.346,1.355,1.36,1.362,1.358,1.352,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
BEDALE,17.013,17.088,16.86,16.71,16.543,16.417,16.286,16.201,16.203,16.209,16.189,16.205,16.5,16.782,17.085,17.389,17.667,17.912,18.135,18.341,18.624,18.954,19.214,19.442,19.677,19.856,20.065,20.179,20.279,20.348,20.372,20.401,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
BELMONT,21.647,22.428,22.01,21.741,21.432,21.21,21.035,20.968,21.472,21.744,22.212,22.671,23.643,24.539,25.535,26.626,27.518,28.207,28.757,29.228,29.796,30.423,30.777,31.016,31.236,31.254,31.307,31.07,30.788,30.469,30.03,29.589,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
BENSHAM,18.229,18.935,18.586,18.328,18.043,17.809,17.606,17.481,17.671,17.761,17.969,18.209,18.805,19.403,20.083,20.82,21.436,21.902,22.266,22.569,22.893,23.218,23.371,23.458,23.517,23.459,23.393,23.184,22.942,22.686,22.354,22.01,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
BENTON SQUARE,17.36,17.39,17.078,16.907,16.67,16.539,16.443,16.459,16.943,17.256,17.719,18.197,19.068,19.9,20.816,21.813,22.653,23.323,23.878,24.37,24.934,25.56,25.967,26.277,26.564,26.66,26.691,26.603,26.464,26.285,25.996,25.682,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
BENWELL,16.943,16.668,16.342,16.202,16,15.918,15.891,15.941,16.656,17.075,17.625,18.157,19.117,19.997,20.941,21.963,22.806,23.476,24.025,24.515,25.192,26.009,26.545,26.938,27.342,27.502,27.738,27.609,27.447,27.238,26.914,26.612,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
BILLINGHAM MARSH HOUSE,14.481,14.276,14.044,13.998,13.889,13.895,13.96,14.153,14.923,15.508,16.272,17.081,18.358,19.547,20.869,22.279,23.499,24.442,25.199,25.807,26.528,27.238,27.62,27.869,28.105,28.063,28.027,27.733,27.384,27.009,26.502,25.976,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
BILLY MILL,16.854,16.593,16.291,16.117,15.89,15.759,15.666,15.675,16.308,16.642,17.192,17.689,18.645,19.501,20.435,21.475,22.33,23.005,23.558,24.059,24.655,25.339,25.772,26.088,26.388,26.494,26.619,26.482,26.307,26.1,25.789,25.48,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
BIRTLEY GROVE 66/11KV,13.865,13.624,13.352,13.185,12.975,12.832,12.714,12.672,13.059,13.262,13.59,13.902,14.543,15.124,15.759,16.461,17.036,17.483,17.841,18.159,18.566,19.045,19.337,19.538,19.732,19.761,19.781,19.637,19.465,19.27,19.001,18.731,NPgN,Primary,NPg regionalised NG FES - Leading the Way,Total peak demand with price driven TouT customer flexibility (MW)
