Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,82289.4,80535.503,78434.667,77121.716,76073.361,75930.623,76304.269,76892.06,77835.713,79379.445,81416.418,88921.193,96584.591,103856.922,111136.676,118214.942,126125.843,133618.759,139959.039,145821.038,151103.901,156102.929,160605.648,164869.011,168896.874,172446.661,172233.666,171801.417,171344.39,170768.2,170092.979,169410.322,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
AMBERTON ROAD,124277.298,122192.03,119936.964,118352.573,117134.667,116716.534,116763.311,117010.1,117633.059,118781.448,120376.047,127519.732,134777.59,141572.673,148334.334,155053.552,162537.185,169508.292,175381.418,180837.404,185794.169,190456.483,194683.153,198713.706,202536.01,206013.903,205481.298,204699.333,203985.532,203121.919,202149.658,201210.121,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
ANNFIELD 66/20KV,103679.804,101895.06,99892.051,98545.943,97628.306,97567.425,97996.33,98638.589,99674.835,101305.862,103412.266,110980.961,118661.809,125830.172,133076.688,140219.802,148266.106,155809.916,162166.489,168097.516,173467.418,178496.538,182995.37,187254.777,191276.795,194968.02,194776.881,194271.899,193844.377,193213.09,192446.867,191684.078,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
ASHINGTON,90866.519,89285.855,87428.133,86335.039,85709.116,86080.3,87016.816,88161.216,89736.788,92005.306,94817.282,103226.376,111703.521,119634.505,127672.734,135542.466,144513.397,152907.413,159884.09,166332.95,172120.752,177576.084,182403.474,186955.647,191233.44,195110.708,195136.682,194851.051,194619.918,194177.233,193593.572,193001.873,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
AYCLIFFE FORREST,2347.948,2315.462,2284.469,2254.912,2226.77,2199.949,2174.388,2150.021,2126.822,2104.734,2083.693,2064.063,2045.334,2027.455,2010.399,1994.168,1978.818,1964.014,1949.739,1936.101,1923.017,1910.434,1898.3,1886.601,1875.262,1864.238,1853.169,1842.309,1831.646,1821.112,1810.665,1800.274,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
AYCLIFFE INDUSTRIAL,50668.487,49834.961,48922.877,48363.067,48040.901,48043.723,48138.252,48315.388,48652.163,49237.31,50023.346,52850.979,55691.634,58398.425,61094.853,63725.492,66734.867,69552.553,71871.882,73991.161,75874.727,77653.768,79225.788,80705.854,82091.942,83317.156,83159.166,82907.028,82629.723,82315.1,81963.241,81610.727,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BARDEN FRIAR,4936.16,4877.858,4826.213,4798.176,4785.958,4797.308,4916.382,5024.528,5135.073,5251.395,5358.86,5546.187,5746,5943.271,6141.042,6343.933,6584.317,6795.343,6965.502,7131.533,7286.271,7369.058,7440.206,7511.971,7587.85,7673.837,7702.087,7723.425,7738.789,7750.064,7755.612,7765.324,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BEDALE,86437.271,85500.474,84570.431,83922.303,83615.494,83763.401,84323.762,84974.553,85836.106,87012.149,88399.718,91988.414,95618.546,99087.025,102561.729,105993.393,110017.972,113709.675,116708.03,119515.482,122040.346,124313.657,126298.622,128184.534,129969.775,131695.098,131898.935,131934.433,131939.756,131891.434,131790.89,131701.464,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BELMONT,114327.767,112508.134,110568.78,109131.767,108063.348,107608.93,107459.373,107480.758,107798.704,108560.382,109677.095,114560.273,119523.47,124209.019,128906.927,133509.882,138796.49,143716.684,147774.468,151543.531,154919.136,158080.726,160870.071,163499.878,165964.455,168157.723,167767.811,167181.552,166590.748,165910.451,165157.88,164408.27,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BENSHAM,76201.671,74879.804,73475.646,72451.017,71683.882,71336.47,71182.312,71142.996,71309.432,71784.676,72515.4,75641.668,78948.767,82034.274,85172.371,88250.197,91830.199,95168.652,97884.966,100370.225,102567.252,104630.793,106416.929,108084.018,109631.659,111007.014,110772.915,110423.756,110096.266,109678.21,109199.513,108715.792,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BENTON SQUARE,82601.553,81343.7,79891.476,79093.276,78619.994,78829.095,79303.352,79927.009,80848.382,82253.58,84043.203,90055.197,96184.837,101974.41,107792.841,113519.567,119967.012,126033.093,131127.141,135832.544,140091.916,144164.283,147845.167,151349.897,154675.466,157700.787,157764.034,157630.632,157511.774,157277.429,156953.699,156638.405,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BENWELL,93252.898,91781.962,90061.606,88902.427,87904.425,87578.159,87721.167,88035.463,88628.591,89648.257,91016.768,96433.723,102052.89,107369.075,112673.739,117878.579,123687.409,129167.6,133833.846,138210.732,142204.839,145972.599,149411.433,152701.13,155834.911,158657.638,158618.202,158410.445,158217.448,157929.055,157565.411,157212.141,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BILLINGHAM MARSH HOUSE,65945.318,64833.671,63463.254,62760.484,62404.362,62786.238,63540.831,64457.004,65707.551,67483.83,69681.693,75990.868,82364.418,88457.797,94549.419,100461.312,107170.529,113516.404,118799.846,123642.939,127963.684,132034.636,135631.804,139008.734,142176.583,145021.491,145088.226,144936.905,144718.543,144416.946,144033.193,143637.11,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BILLY MILL,87786.586,86522.068,85084.255,84176.252,83489.189,83416.672,83678.383,84087.65,84761.009,85864.892,87310.164,92417.401,97629.976,102575.073,107545.471,112415.314,117918.292,123108.74,127467.612,131520.357,135191.237,138680.84,141812.612,144782.543,147592.827,150119.296,150132.434,149987.673,149836.899,149602.313,149299.066,148998.73,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BIRTLEY GROVE 66/11KV,73994.599,72749.311,71381.591,70419.099,69666.853,69356.797,69248.548,69252.647,69459.648,69973.026,70742.335,74167.804,77661.813,80968.262,84288.966,87542.937,91242.746,94723.206,97620.797,100285.212,102671.356,104928.553,106938.922,108836.874,110622.208,112208.621,111966.558,111601.774,111236.26,110804.761,110320.766,109836.224,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BIRTLEY GROVE 66/20KV,46518.92,45727.633,44874.6,44275.876,43801.213,43592.358,43508.46,43493.956,43606.822,43904.095,44357.136,46601.971,48888.927,51038.215,53195.387,55327.492,57730.343,59979.913,61870.666,63625.736,65214.382,66717.744,68071.904,69358.796,70575.836,71668.918,71497.512,71248.78,71015.002,70732.287,70414.027,70100.235,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BLAYDON BURN,77569.298,76232.266,74800.107,73898.754,73304.58,73212.554,73343.456,73605.714,74122.621,75014.544,76218.171,81463.955,86718.21,91638.227,96600.341,101494.645,106984.222,112128.448,116480.523,120543.614,124241.086,127745.922,130910.389,133923.458,136777.904,139316.818,138998.88,138530.444,138115.31,137575.287,136955.246,136338.608,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BLUCHER 33/11KV,66690.194,65547.906,64136.658,63301.237,62637.149,62593.538,62942.827,63444.229,64198.508,65361.938,66864.52,72430.546,78115.823,83506.119,88896.426,94159.316,99974.657,105510.666,110265.255,114706.814,118756.617,122584.295,126087.348,129432.781,132620.43,135466.474,135446.915,135271.905,135104.077,134839.583,134500.38,134160.676,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BOLDON DOWNHILL,45155.994,44338.104,43390.817,42776.813,42394.875,42457.266,42738.576,43128.736,43720.587,44623.245,45778.405,49803.29,53865.657,57753.989,61636.18,65422.206,69675.435,73694.171,77092.912,80242.902,83088.103,85776.767,88180.242,90451.062,92593.63,94532.436,94451.807,94223.938,93965.158,93647.852,93277.99,92899.948,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,51797.469,51313.597,50857.629,50550.073,50387.471,50402.576,50517.868,50683.195,50943.886,51337.162,51829.778,53326.09,54847.227,56310.608,57781.832,59249.291,60947.939,62528.635,63849.036,65099.006,66247.948,67330.112,68310.129,69256.844,70168.965,71049.27,71218.101,71324.41,71426.655,71510.297,71575.05,71647.89,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BOWESFIELD 33/11KV,58698.851,57944.806,57139.99,56740.907,56625.645,56942.708,57535.589,58227.578,59139.209,60375.964,61859.031,66471.437,71023.824,75290.995,79602.146,83842.602,88675.68,93168.094,96918.044,100438.107,103636.653,106655.724,109355.621,111928.905,114364.462,116543.034,116551.718,116431.186,116348.178,116164.23,115916.042,115671.952,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
BOWESFIELD 66/11KV,70959.675,70069.407,69106.551,68554.889,68226.836,68281.537,68475.521,68741.213,69179.108,69878.981,70788.593,73583.309,76433.777,79147.463,81876.974,84557.956,87672.905,90577.295,92940.693,95078.341,96976.09,98807.049,100447.419,102014.485,103497.862,104850.07,104936.552,104925.443,104903.554,104838.029,104733.448,104632.325,NPgN,Primary,NPg - Early Net Zero,Total demand (MWh)
