Additional Peak demand breakdown,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electric HGVs,0.000,0.217,1.027,2.431,4.428,7.019,10.203,20.040,36.057,57.962,85.465,118.275,156.041,193.398,230.308,266.735,302.638,340.147,374.988,407.158,436.658,463.484,484.726,502.172,515.823,525.679,531.741,535.100,538.450,541.792,545.127,548.453
Electric Buses,0.000,0.101,0.469,1.103,2.003,3.170,4.603,6.386,8.578,11.147,14.060,17.287,20.615,24.032,27.447,30.731,33.893,37.828,41.633,45.309,48.619,51.562,54.080,56.170,57.833,59.225,60.344,61.193,61.769,62.072,62.313,62.494
Electrolysers,0.000,0.047,0.115,0.172,0.203,0.250,0.317,0.366,0.434,0.532,0.631,2.621,4.649,6.597,8.521,10.379,12.271,14.068,15.681,17.097,18.256,19.152,19.613,19.956,20.234,20.401,20.522,20.637,20.620,20.565,20.486,20.417
Large industry Fuel Switching,0.000,0.000,15.285,30.570,45.855,61.140,76.426,102.640,128.855,155.069,181.284,207.499,230.555,253.611,276.668,299.724,322.780,350.159,377.537,404.916,432.294,459.672,499.882,540.091,580.301,620.511,660.720,660.720,660.720,660.720,660.720,660.720
