Scenario,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer transformation,27449,37635,42625,51849,142975,222897,298511,373501,457974,609858,694920,810280,906722,996504,1182915,1346665,1468107,1611974,1715303,1835268,1977042,2086335,2179312,2271089,2345465,2422369,2640439,2798431,2893700,2958393,3160698,3237997
System transformation,27449,34601,44089,53319,73401,93351,119669,146126,172306,196348,222428,246602,264699,314973,357789,395800,456795,510086,550990,576172,600708,619881,721907,825436,875391,889701,939177,1039159,1125529,1160112,1165570,1212897
Steady progression,27449,29347,28979,32126,33808,37324,41785,46102,53763,62313,71829,79949,97780,116688,132694,148893,167134,182118,195328,208486,220218,251947,292474,331073,367180,400988,431892,479155,522939,563684,601727,637258
Leading the way,27449,39158,64797,137431,200284,278683,360094,441815,565082,741691,860501,1025870,1156634,1276532,1412743,1504845,1611859,1721678,1809115,1881986,2101125,2338055,2526799,2652913,2873226,2975295,3141405,3159252,3182718,3196470,3199013,3223021
Net Zero Early,27456,28858,31576,40269,56326,74966,113233,151814,191340,232390,276190,544600,814312,1081208,1346845,1612504,1876239,2140697,2400209,2653156,2899382,3132171,3368263,3606153,3845351,4075649,4096373,4115409,4134112,4152491,4170555,4188585
