Emission type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Heating oil,4251,4196,4157,4019,3878,3589,3323,3090,2862,2639,2414,2191,1967,1767,1481,1288,1014,730,537,358,365,372,379,374,367,363,358,350,342,340,331
Natural gas,66686,65814,64914,63976,63132,62103,61127,60181,59263,58364,53934,49503,45208,40915,36645,32436,24759,17903,11851,6553,2411,0,0,0,0,0,0,0,0,0,0
Hydrogen,2,6,9,10,13,16,18,22,27,32,132,234,333,430,523,619,4208,7044,9150,10532,11242,11234,10534,9153,7099,7622,7495,7312,7170,7045,6917
Bioenergy,1478,1869,2238,2607,2976,3346,3700,3991,4285,4577,4970,5349,5744,6198,6636,6981,7409,7854,8295,8733,8782,7791,5085,3063,1720,979,929,883,841,807,770
Petrol,22594,22514,21872,20345,18734,17015,15206,13592,12101,10670,9475,8255,6818,5569,4556,3698,2964,2348,1836,1414,1070,797,582,417,294,201,136,91,60,40,26
Diesel,46409,46600,46417,45638,44650,42963,40326,37508,34375,31012,27605,24203,20717,17500,14505,11801,9590,7643,5942,4478,3235,2268,1510,946,553,316,196,119,76,46,27
Electricity,36987,36856,36847,37092,37479,38023,38699,39551,40602,41814,44635,47409,50071,52737,55362,58228,60988,63394,65651,67721,69642,71344,72936,74420,75762,75875,75874,75867,75818,75747,75667
