Scenario,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer transformation,2.947,3.086,3.241,3.407,3.519,3.654,3.85,4.102,4.379,4.669,5,5.375,5.794,6.244,6.719,7.215,7.711,8.166,8.62,9.124,9.642,10.158,10.673,11.179,11.7,12.164,12.602,13.016,13.406,13.758,14.11,14.469
System transformation,2.947,3.083,3.227,3.375,3.453,3.545,3.647,3.776,3.914,4.064,4.226,4.409,4.609,4.823,5.04,5.261,5.464,5.606,5.731,5.89,6.057,6.228,6.4,6.568,6.735,6.889,7.046,7.2,7.353,7.503,7.655,7.808
Steady progression,2.947,3.028,3.115,3.197,3.245,3.293,3.321,3.353,3.39,3.438,3.494,3.564,3.644,3.734,3.822,3.925,3.999,4.036,4.077,4.116,4.168,4.224,4.278,4.332,4.387,4.443,4.499,4.552,4.605,4.659,4.713,4.768
Leading the way,2.947,3.143,3.347,3.554,3.669,3.798,3.965,4.163,4.366,4.595,4.849,5.129,5.45,5.793,6.141,6.5,6.874,7.181,7.472,7.809,8.146,8.508,8.871,9.221,9.566,9.891,10.217,10.539,10.857,11.178,11.498,11.824
Net Zero Early,2.947,3.024,3.137,3.284,3.46,3.642,3.864,4.099,4.342,4.593,4.861,5.2,5.593,6.04,6.478,6.932,7.334,7.633,7.931,8.22,8.507,8.795,9.07,9.32,9.545,9.743,9.943,10.139,10.334,10.541,10.748,10.965
